




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	non_TAGs_low.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	non_TAGs_low.txt (37812)	non_TAGs_low.txt (expected)	non_TAGs_low.txt (over/under)	non_TAGs_low.txt (fold Enrichment)	non_TAGs_low.txt (raw P-value)	non_TAGs_low.txt (FDR)
negative regulation of cellular metabolic process (GO:0031324)	324	279	219.35	+	1.27	3.73E-14	2.90E-13
DNA repair (GO:0006281)	403	347	272.83	+	1.27	2.33E-17	2.09E-16
protein ubiquitination (GO:0016567)	453	390	306.68	+	1.27	2.84E-19	2.79E-18
purine ribonucleotide catabolic process (GO:0009154)	93	80	62.96	+	1.27	8.16E-05	2.25E-04
ribonucleotide catabolic process (GO:0009261)	93	80	62.96	+	1.27	8.16E-05	2.25E-04
maturation of LSU-rRNA (GO:0000470)	50	43	33.85	+	1.27	5.78E-03	1.13E-02
sterol metabolic process (GO:0016125)	100	86	67.70	+	1.27	3.82E-05	1.11E-04
organophosphate metabolic process (GO:0019637)	670	576	453.58	+	1.27	1.19E-27	1.70E-26
protein localization to membrane (GO:0072657)	171	147	115.77	+	1.27	6.46E-08	2.79E-07
organelle localization (GO:0051640)	156	134	105.61	+	1.27	2.83E-07	1.16E-06
cell cycle (GO:0007049)	546	469	369.64	+	1.27	1.56E-22	1.82E-21
isoprenoid biosynthetic process (GO:0008299)	85	73	57.54	+	1.27	1.72E-04	4.49E-04
vesicle fusion (GO:0006906)	92	79	62.28	+	1.27	1.18E-04	3.14E-04
DNA damage response (GO:0006974)	417	358	282.31	+	1.27	2.06E-17	1.88E-16
negative regulation of macromolecule metabolic process (GO:0010605)	318	273	215.28	+	1.27	1.46E-13	1.09E-12
purine-containing compound catabolic process (GO:0072523)	120	103	81.24	+	1.27	8.17E-06	2.72E-05
proteinogenic amino acid metabolic process (GO:0170039)	197	169	133.37	+	1.27	9.73E-09	4.66E-08
organic acid metabolic process (GO:0006082)	752	645	509.10	+	1.27	3.83E-30	6.06E-29
oxoacid metabolic process (GO:0043436)	752	645	509.10	+	1.27	3.83E-30	6.00E-29
carboxylic acid metabolic process (GO:0019752)	752	645	509.10	+	1.27	3.83E-30	5.93E-29
nucleoside triphosphate metabolic process (GO:0009141)	147	126	99.52	+	1.27	8.35E-07	3.22E-06
protein targeting to ER (GO:0045047)	49	42	33.17	+	1.27	5.62E-03	1.10E-02
chromatin remodeling (GO:0006338)	175	150	118.47	+	1.27	6.12E-08	2.65E-07
establishment of protein localization to endoplasmic reticulum (GO:0072599)	49	42	33.17	+	1.27	5.62E-03	1.10E-02
ribonucleoside triphosphate biosynthetic process (GO:0009201)	49	42	33.17	+	1.27	5.62E-03	1.10E-02
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	63	54	42.65	+	1.27	1.70E-03	3.65E-03
protein-RNA complex assembly (GO:0022618)	203	174	137.43	+	1.27	6.55E-09	3.18E-08
cellular response to topologically incorrect protein (GO:0035967)	35	30	23.69	+	1.27	2.82E-02	4.78E-02
response to topologically incorrect protein (GO:0035966)	35	30	23.69	+	1.27	2.82E-02	4.77E-02
sphingolipid biosynthetic process (GO:0030148)	42	36	28.43	+	1.27	1.24E-02	2.29E-02
organic substance transport (GO:0071702)	923	791	624.86	+	1.27	1.69E-36	3.18E-35
protein-containing complex organization (GO:0043933)	689	590	466.45	+	1.26	2.65E-27	3.66E-26
ribonucleoside triphosphate metabolic process (GO:0009199)	139	119	94.10	+	1.26	1.75E-06	6.41E-06
mitotic cell cycle (GO:0000278)	354	303	239.65	+	1.26	1.40E-14	1.12E-13
cellular response to stimulus (GO:0051716)	1524	1304	1031.73	+	1.26	6.41E-59	1.94E-57
post-transcriptional regulation of gene expression (GO:0010608)	158	135	106.96	+	1.26	5.37E-07	2.13E-06
glycolytic process (GO:0006096)	89	76	60.25	+	1.26	2.34E-04	5.96E-04
regulation of pH (GO:0006885)	89	76	60.25	+	1.26	2.34E-04	5.95E-04
cellular component organization or biogenesis (GO:0071840)	2519	2151	1705.34	+	1.26	1.04E-95	5.35E-94
macromolecule catabolic process (GO:0009057)	999	853	676.31	+	1.26	5.10E-38	9.88E-37
mitotic cell cycle checkpoint signaling (GO:0007093)	41	35	27.76	+	1.26	1.80E-02	3.16E-02
alpha-amino acid metabolic process (GO:1901605)	314	268	212.58	+	1.26	1.06E-12	7.35E-12
tRNA modification (GO:0006400)	102	87	69.05	+	1.26	7.21E-05	2.02E-04
tetrapyrrole metabolic process (GO:0033013)	34	29	23.02	+	1.26	2.76E-02	4.70E-02
reciprocal meiotic recombination (GO:0007131)	34	29	23.02	+	1.26	2.76E-02	4.69E-02
homologous recombination (GO:0035825)	34	29	23.02	+	1.26	2.76E-02	4.69E-02
reciprocal homologous recombination (GO:0140527)	34	29	23.02	+	1.26	2.76E-02	4.68E-02
phosphate ion transport (GO:0006817)	34	29	23.02	+	1.26	2.76E-02	4.68E-02
cellular catabolic process (GO:0044248)	686	585	464.42	+	1.26	5.13E-26	6.62E-25
fatty acid biosynthetic process (GO:0006633)	61	52	41.30	+	1.26	2.41E-03	5.12E-03
macromolecule metabolic process (GO:0043170)	5907	5032	3998.99	+	1.26	5.81E-229	1.01E-226
protein-RNA complex organization (GO:0071826)	209	178	141.49	+	1.26	1.13E-08	5.31E-08
cell cycle process (GO:0022402)	430	366	291.11	+	1.26	1.67E-16	1.45E-15
base-excision repair (GO:0006284)	47	40	31.82	+	1.26	1.16E-02	2.16E-02
cellular component organization (GO:0016043)	2045	1740	1384.45	+	1.26	1.21E-74	4.98E-73
purine nucleoside triphosphate metabolic process (GO:0009144)	134	114	90.72	+	1.26	6.84E-06	2.34E-05
primary metabolic process (GO:0044238)	7504	6384	5080.14	+	1.26	1.60E-294	4.45E-292
organic cyclic compound biosynthetic process (GO:1901362)	727	618	492.17	+	1.26	1.12E-26	1.52E-25
organic substance catabolic process (GO:1901575)	1474	1253	997.89	+	1.26	3.63E-53	1.03E-51
respiratory electron transport chain (GO:0022904)	40	34	27.08	+	1.26	1.77E-02	3.12E-02
cellular lipid catabolic process (GO:0044242)	120	102	81.24	+	1.26	2.13E-05	6.59E-05
DNA biosynthetic process (GO:0071897)	80	68	54.16	+	1.26	6.95E-04	1.59E-03
diterpenoid metabolic process (GO:0016101)	40	34	27.08	+	1.26	1.77E-02	3.11E-02
lipid catabolic process (GO:0016042)	120	102	81.24	+	1.26	2.13E-05	6.57E-05
small molecule metabolic process (GO:0044281)	1328	1128	899.04	+	1.25	1.41E-47	3.65E-46
cellular component biogenesis (GO:0044085)	1174	997	794.79	+	1.25	4.27E-42	9.59E-41
alcohol biosynthetic process (GO:0046165)	53	45	35.88	+	1.25	7.48E-03	1.43E-02
telomere maintenance via telomerase (GO:0007004)	66	56	44.68	+	1.25	2.23E-03	4.74E-03
cellular component assembly (GO:0022607)	673	571	455.62	+	1.25	2.52E-24	3.06E-23
nitrogen compound metabolic process (GO:0006807)	6706	5686	4539.90	+	1.25	1.28E-250	2.54E-248
regulation of biological process (GO:0050789)	3326	2820	2251.67	+	1.25	2.74E-118	1.74E-116
regulation of protein stability (GO:0031647)	46	39	31.14	+	1.25	1.14E-02	2.13E-02
purine ribonucleoside triphosphate metabolic process (GO:0009205)	131	111	88.69	+	1.25	1.33E-05	4.22E-05
regulation of metabolic process (GO:0019222)	2282	1933	1544.89	+	1.25	1.56E-79	7.25E-78
meiotic nuclear division (GO:0140013)	39	33	26.40	+	1.25	2.50E-02	4.28E-02
meiosis I cell cycle process (GO:0061982)	39	33	26.40	+	1.25	2.50E-02	4.28E-02
regulation of macromolecule metabolic process (GO:0060255)	2226	1883	1506.98	+	1.25	2.17E-76	9.44E-75
cellular nitrogen compound catabolic process (GO:0044270)	305	258	206.48	+	1.25	1.95E-11	1.20E-10
heterocycle catabolic process (GO:0046700)	305	258	206.48	+	1.25	1.95E-11	1.19E-10
DNA recombination (GO:0006310)	188	159	127.27	+	1.25	1.81E-07	7.51E-07
biological regulation (GO:0065007)	3690	3120	2498.10	+	1.25	5.49E-128	4.25E-126
regulation of phosphorus metabolic process (GO:0051174)	110	93	74.47	+	1.25	8.73E-05	2.38E-04
regulation of phosphate metabolic process (GO:0019220)	110	93	74.47	+	1.25	8.73E-05	2.38E-04
catabolic process (GO:0009056)	1616	1366	1094.02	+	1.25	5.33E-55	1.55E-53
organic substance metabolic process (GO:0071704)	8044	6798	5445.72	+	1.25	1.01E-296	3.53E-294
regulation of cellular process (GO:0050794)	3194	2699	2162.31	+	1.25	2.53E-109	1.41E-107
regulation of macromolecule biosynthetic process (GO:0010556)	2013	1701	1362.78	+	1.25	2.69E-68	9.87E-67
organic cyclic compound catabolic process (GO:1901361)	329	278	222.73	+	1.25	5.57E-12	3.68E-11
ATP metabolic process (GO:0046034)	129	109	87.33	+	1.25	1.84E-05	5.77E-05
localization (GO:0051179)	2791	2358	1889.48	+	1.25	4.97E-95	2.48E-93
regulation of gene expression (GO:0010468)	2009	1697	1360.08	+	1.25	7.26E-68	2.59E-66
organic hydroxy compound metabolic process (GO:1901615)	251	212	169.92	+	1.25	1.73E-09	9.06E-09
sexual reproduction (GO:0019953)	135	114	91.39	+	1.25	1.22E-05	3.93E-05
regulation of cellular metabolic process (GO:0031323)	2229	1882	1509.01	+	1.25	6.11E-75	2.58E-73
regulation of biosynthetic process (GO:0009889)	2036	1719	1378.35	+	1.25	1.76E-68	6.81E-67
regulation of cellular biosynthetic process (GO:0031326)	2036	1719	1378.35	+	1.25	1.76E-68	6.63E-67
nucleotide metabolic process (GO:0009117)	365	308	247.10	+	1.25	5.04E-13	3.66E-12
cell communication (GO:0007154)	806	680	545.66	+	1.25	2.36E-27	3.28E-26
monocarboxylic acid metabolic process (GO:0032787)	332	280	224.76	+	1.25	7.05E-12	4.55E-11
double-strand break repair (GO:0006302)	185	156	125.24	+	1.25	3.47E-07	1.40E-06
maturation of 5.8S rRNA (GO:0000460)	51	43	34.53	+	1.25	1.03E-02	1.94E-02
nucleoside phosphate catabolic process (GO:1901292)	121	102	81.92	+	1.25	5.39E-05	1.56E-04
nucleobase-containing small molecule metabolic process (GO:0055086)	464	391	314.12	+	1.24	4.49E-16	3.84E-15
establishment of localization (GO:0051234)	2545	2144	1722.94	+	1.24	7.48E-84	3.59E-82
negative regulation of RNA metabolic process (GO:0051253)	57	48	38.59	+	1.24	6.70E-03	1.30E-02
aromatic compound catabolic process (GO:0019439)	322	271	217.99	+	1.24	1.98E-11	1.21E-10
signaling (GO:0023052)	770	648	521.28	+	1.24	2.11E-25	2.70E-24
signal transduction (GO:0007165)	768	646	519.93	+	1.24	2.86E-25	3.59E-24
regulation of protein modification process (GO:0031399)	107	90	72.44	+	1.24	1.67E-04	4.36E-04
recombinational repair (GO:0000725)	151	127	102.23	+	1.24	6.93E-06	2.36E-05
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	44	37	29.79	+	1.24	2.27E-02	3.90E-02
cellular lipid metabolic process (GO:0044255)	660	555	446.81	+	1.24	9.38E-22	1.03E-20
transport (GO:0006810)	2394	2013	1620.72	+	1.24	3.66E-77	1.65E-75
mitotic cell cycle process (GO:1903047)	282	237	190.91	+	1.24	5.62E-10	3.11E-09
nucleoside triphosphate biosynthetic process (GO:0009142)	50	42	33.85	+	1.24	1.46E-02	2.59E-02
mitochondrial gene expression (GO:0140053)	50	42	33.85	+	1.24	1.46E-02	2.59E-02
negative regulation of gene expression, epigenetic (GO:0045814)	50	42	33.85	+	1.24	1.46E-02	2.58E-02
regulation of primary metabolic process (GO:0080090)	1917	1610	1297.79	+	1.24	7.55E-61	2.39E-59
cellular process (GO:0009987)	10779	9050	7297.29	+	1.24	0.00E00	0.00E00
regulation of cellular component organization (GO:0051128)	137	115	92.75	+	1.24	2.14E-05	6.54E-05
protein metabolic process (GO:0019538)	3650	3063	2471.02	+	1.24	1.76E-116	1.07E-114
double-strand break repair via homologous recombination (GO:0000724)	143	120	96.81	+	1.24	1.42E-05	4.50E-05
ribosomal large subunit biogenesis (GO:0042273)	143	120	96.81	+	1.24	1.42E-05	4.49E-05
regulation of nitrogen compound metabolic process (GO:0051171)	1902	1596	1287.64	+	1.24	7.93E-60	2.46E-58
mitotic cell cycle phase transition (GO:0044772)	93	78	62.96	+	1.24	5.30E-04	1.24E-03
cell cycle phase transition (GO:0044770)	93	78	62.96	+	1.24	5.30E-04	1.23E-03
meiotic cell cycle (GO:0051321)	130	109	88.01	+	1.24	4.47E-05	1.30E-04
regulation of RNA metabolic process (GO:0051252)	1632	1368	1104.85	+	1.24	9.53E-51	2.56E-49
metabolic process (GO:0008152)	8527	7146	5772.71	+	1.24	2.17E-289	5.05E-287
carbohydrate metabolic process (GO:0005975)	506	424	342.56	+	1.24	2.12E-16	1.83E-15
lipid metabolic process (GO:0006629)	783	656	530.08	+	1.24	1.25E-24	1.52E-23
organophosphate catabolic process (GO:0046434)	154	129	104.26	+	1.24	8.67E-06	2.84E-05
ribose phosphate biosynthetic process (GO:0046390)	141	118	95.46	+	1.24	2.74E-05	8.18E-05
DNA metabolic process (GO:0006259)	586	490	396.72	+	1.24	1.99E-18	1.87E-17
telomere maintenance via telomere lengthening (GO:0010833)	67	56	45.36	+	1.23	5.57E-03	1.09E-02
regulation of cell cycle (GO:0051726)	207	173	140.14	+	1.23	3.08E-07	1.26E-06
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1691	1413	1144.79	+	1.23	8.81E-51	2.41E-49
organonitrogen compound metabolic process (GO:1901564)	4706	3927	3185.92	+	1.23	4.47E-143	4.45E-141
biological_process (GO:0008150)	15251	12718	10324.80	+	1.23	0.00E00	0.00E00
cellular metabolic process (GO:0044237)	6671	5563	4516.21	+	1.23	1.25E-207	1.94E-205
regulation of amide metabolic process (GO:0034248)	66	55	44.68	+	1.23	5.46E-03	1.08E-02
regulation of translation (GO:0006417)	66	55	44.68	+	1.23	5.46E-03	1.08E-02
transcription by RNA polymerase III (GO:0006383)	48	40	32.50	+	1.23	2.01E-02	3.51E-02
metal ion transport (GO:0030001)	210	175	142.17	+	1.23	3.81E-07	1.54E-06
protein-containing complex assembly (GO:0065003)	422	351	285.69	+	1.23	6.89E-13	4.90E-12
nucleotide biosynthetic process (GO:0009165)	190	158	128.63	+	1.23	1.75E-06	6.45E-06
nucleoside phosphate biosynthetic process (GO:1901293)	190	158	128.63	+	1.23	1.75E-06	6.43E-06
homeostatic process (GO:0042592)	374	311	253.19	+	1.23	1.70E-11	1.05E-10
nucleoside phosphate metabolic process (GO:0006753)	391	325	264.70	+	1.23	6.99E-12	4.53E-11
purine-containing compound metabolic process (GO:0072521)	349	290	236.27	+	1.23	8.40E-11	4.86E-10
organic hydroxy compound biosynthetic process (GO:1901617)	118	98	79.88	+	1.23	2.34E-04	5.94E-04
regulation of organelle organization (GO:0033043)	123	102	83.27	+	1.22	2.13E-04	5.45E-04
organelle assembly (GO:0070925)	287	238	194.30	+	1.22	6.24E-09	3.04E-08
regulation of DNA-templated transcription (GO:0006355)	1498	1242	1014.13	+	1.22	3.23E-41	6.93E-40
regulation of RNA biosynthetic process (GO:2001141)	1498	1242	1014.13	+	1.22	3.23E-41	6.82E-40
purine nucleotide metabolic process (GO:0006163)	321	266	217.31	+	1.22	1.02E-09	5.48E-09
export from cell (GO:0140352)	140	116	94.78	+	1.22	6.17E-05	1.75E-04
macromolecule modification (GO:0043412)	2558	2117	1731.74	+	1.22	4.83E-69	1.92E-67
nucleoside diphosphate metabolic process (GO:0009132)	116	96	78.53	+	1.22	3.18E-04	7.72E-04
negative regulation of biological process (GO:0048519)	429	355	290.43	+	1.22	2.28E-12	1.54E-11
chemical homeostasis (GO:0048878)	330	273	223.41	+	1.22	8.31E-10	4.56E-09
ribonucleotide biosynthetic process (GO:0009260)	133	110	90.04	+	1.22	1.25E-04	3.29E-04
protein polyubiquitination (GO:0000209)	138	114	93.42	+	1.22	1.12E-04	3.01E-04
negative regulation of cellular process (GO:0048523)	425	351	287.72	+	1.22	5.57E-12	3.67E-11
meiotic cell cycle process (GO:1903046)	57	47	38.59	+	1.22	1.58E-02	2.80E-02
aromatic amino acid metabolic process (GO:0009072)	74	61	50.10	+	1.22	5.92E-03	1.16E-02
aromatic compound biosynthetic process (GO:0019438)	686	565	464.42	+	1.22	4.33E-18	3.99E-17
response to nitrogen compound (GO:1901698)	119	98	80.56	+	1.22	3.86E-04	9.26E-04
telomere maintenance (GO:0000723)	79	65	53.48	+	1.22	5.27E-03	1.05E-02
telomere organization (GO:0032200)	79	65	53.48	+	1.22	5.27E-03	1.05E-02
response to abiotic stimulus (GO:0009628)	355	292	240.33	+	1.21	7.85E-10	4.32E-09
nucleoside diphosphate catabolic process (GO:0009134)	107	88	72.44	+	1.21	8.79E-04	1.97E-03
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	90	74	60.93	+	1.21	3.10E-03	6.31E-03
negative regulation of nitrogen compound metabolic process (GO:0051172)	123	101	83.27	+	1.21	4.61E-04	1.08E-03
regulation of transcription by RNA polymerase II (GO:0006357)	820	673	555.13	+	1.21	1.37E-20	1.41E-19
cellular homeostasis (GO:0019725)	244	200	165.19	+	1.21	6.43E-07	2.53E-06
establishment of protein localization to membrane (GO:0090150)	133	109	90.04	+	1.21	2.71E-04	6.83E-04
carbohydrate catabolic process (GO:0016052)	205	168	138.78	+	1.21	5.99E-06	2.07E-05
response to organonitrogen compound (GO:0010243)	115	94	77.85	+	1.21	9.25E-04	2.04E-03
protein modification process (GO:0036211)	2172	1774	1470.43	+	1.21	3.43E-50	9.01E-49
ribose phosphate metabolic process (GO:0019693)	276	225	186.85	+	1.20	2.87E-07	1.17E-06
ribonucleotide metabolic process (GO:0009259)	258	210	174.66	+	1.20	9.37E-07	3.61E-06
epigenetic regulation of gene expression (GO:0040029)	75	61	50.77	+	1.20	1.28E-02	2.36E-02
regulation of protein phosphorylation (GO:0001932)	91	74	61.61	+	1.20	4.82E-03	9.60E-03
regulation of phosphorylation (GO:0042325)	91	74	61.61	+	1.20	4.82E-03	9.59E-03
inorganic anion transport (GO:0015698)	64	52	43.33	+	1.20	2.22E-02	3.82E-02
monoatomic ion transport (GO:0006811)	272	221	184.14	+	1.20	6.53E-07	2.56E-06
cell division (GO:0051301)	74	60	50.10	+	1.20	1.27E-02	2.34E-02
energy derivation by oxidation of organic compounds (GO:0015980)	116	94	78.53	+	1.20	1.92E-03	4.09E-03
intracellular chemical homeostasis (GO:0055082)	200	162	135.40	+	1.20	3.77E-05	1.10E-04
regulation of transferase activity (GO:0051338)	84	68	56.87	+	1.20	9.74E-03	1.83E-02
response to organic substance (GO:0010033)	377	305	255.23	+	1.20	1.01E-08	4.83E-08
secretion by cell (GO:0032940)	120	97	81.24	+	1.19	1.67E-03	3.60E-03
secretion (GO:0046903)	120	97	81.24	+	1.19	1.67E-03	3.59E-03
monoatomic ion homeostasis (GO:0050801)	244	197	165.19	+	1.19	7.08E-06	2.40E-05
carbohydrate biosynthetic process (GO:0016051)	207	167	140.14	+	1.19	3.77E-05	1.10E-04
DNA replication (GO:0006260)	201	162	136.08	+	1.19	5.59E-05	1.61E-04
fatty acid metabolic process (GO:0006631)	154	124	104.26	+	1.19	5.15E-04	1.21E-03
regulation of kinase activity (GO:0043549)	82	66	55.51	+	1.19	1.28E-02	2.35E-02
regulation of protein kinase activity (GO:0045859)	82	66	55.51	+	1.19	1.28E-02	2.35E-02
response to endogenous stimulus (GO:0009719)	199	160	134.72	+	1.19	7.29E-05	2.04E-04
purine-containing compound biosynthetic process (GO:0072522)	152	122	102.90	+	1.19	6.69E-04	1.53E-03
intracellular monoatomic cation homeostasis (GO:0030003)	177	142	119.83	+	1.19	2.68E-04	6.77E-04
intracellular monoatomic ion homeostasis (GO:0006873)	177	142	119.83	+	1.19	2.68E-04	6.75E-04
response to hormone (GO:0009725)	197	158	133.37	+	1.18	1.23E-04	3.25E-04
monoatomic cation transport (GO:0006812)	256	205	173.31	+	1.18	1.20E-05	3.84E-05
regulation of protein serine/threonine kinase activity (GO:0071900)	80	64	54.16	+	1.18	1.68E-02	2.97E-02
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	80	64	54.16	+	1.18	1.68E-02	2.97E-02
aerobic respiration (GO:0009060)	104	83	70.41	+	1.18	8.36E-03	1.60E-02
protein localization to endoplasmic reticulum (GO:0070972)	79	63	53.48	+	1.18	2.19E-02	3.76E-02
purine nucleotide biosynthetic process (GO:0006164)	148	118	100.19	+	1.18	1.45E-03	3.17E-03
monoatomic cation homeostasis (GO:0055080)	231	184	156.39	+	1.18	7.15E-05	2.00E-04
cellular respiration (GO:0045333)	107	85	72.44	+	1.17	9.37E-03	1.77E-02
purine ribonucleotide metabolic process (GO:0009150)	233	185	157.74	+	1.17	7.99E-05	2.21E-04
response to stimulus (GO:0050896)	2354	1869	1593.64	+	1.17	6.91E-38	1.32E-36
exocytosis (GO:0006887)	111	88	75.15	+	1.17	8.13E-03	1.55E-02
phosphorus metabolic process (GO:0006793)	1934	1532	1309.30	+	1.17	3.15E-30	5.05E-29
phosphate-containing compound metabolic process (GO:0006796)	1910	1511	1293.05	+	1.17	2.54E-29	3.80E-28
purine ribonucleotide biosynthetic process (GO:0009152)	108	85	73.12	+	1.16	1.34E-02	2.40E-02
peptide metabolic process (GO:0006518)	542	426	366.93	+	1.16	2.00E-08	9.03E-08
non-membrane-bounded organelle assembly (GO:0140694)	205	161	138.78	+	1.16	7.24E-04	1.65E-03
amide metabolic process (GO:0043603)	646	506	437.34	+	1.16	2.07E-09	1.07E-08
chromosome organization (GO:0051276)	304	238	205.81	+	1.16	5.92E-05	1.70E-04
regulation of molecular function (GO:0065009)	210	164	142.17	+	1.15	1.09E-03	2.40E-03
response to chemical (GO:0042221)	550	429	372.35	+	1.15	9.47E-08	4.01E-07
regulation of catalytic activity (GO:0050790)	204	159	138.11	+	1.15	1.57E-03	3.38E-03
transmembrane transport (GO:0055085)	993	770	672.25	+	1.15	6.17E-12	4.04E-11
cellular response to organic substance (GO:0071310)	176	136	119.15	+	1.14	5.97E-03	1.16E-02
response to lipid (GO:0033993)	123	95	83.27	+	1.14	2.60E-02	4.43E-02
lipid modification (GO:0030258)	156	120	105.61	+	1.14	1.28E-02	2.36E-02
inorganic ion transmembrane transport (GO:0098660)	255	196	172.63	+	1.14	1.56E-03	3.37E-03
cellular response to chemical stimulus (GO:0070887)	263	202	178.05	+	1.13	1.46E-03	3.18E-03
monoatomic ion transmembrane transport (GO:0034220)	181	138	122.54	+	1.13	1.35E-02	2.41E-02
organic anion transport (GO:0015711)	234	178	158.42	+	1.12	6.17E-03	1.20E-02
inorganic cation transmembrane transport (GO:0098662)	231	174	156.39	+	1.11	1.34E-02	2.41E-02
polysaccharide metabolic process (GO:0005976)	214	161	144.88	+	1.11	1.89E-02	3.32E-02
response to stress (GO:0006950)	1373	1028	929.51	+	1.11	4.75E-09	2.34E-08
phosphorylation (GO:0016310)	1054	753	713.55	+	1.06	8.60E-03	1.64E-02
protein phosphorylation (GO:0006468)	986	702	667.51	+	1.05	1.77E-02	3.12E-02
Unclassified (UNCLASSIFIED)	40602	25094	27487.20	-	.91	0.00E00	0.00E00
sulfur compound metabolic process (GO:0006790)	244	148	165.19	-	.90	1.97E-02	3.44E-02
response to external stimulus (GO:0009605)	347	199	234.92	-	.85	5.26E-05	1.52E-04
cellular modified amino acid metabolic process (GO:0006575)	163	93	110.35	-	.84	4.29E-03	8.63E-03
response to osmotic stress (GO:0006970)	84	44	56.87	-	.77	3.42E-03	6.94E-03
response to salt stress (GO:0009651)	82	42	55.51	-	.76	1.99E-03	4.23E-03
negative regulation of catalytic activity (GO:0043086)	50	25	33.85	-	.74	9.72E-03	1.83E-02
negative regulation of molecular function (GO:0044092)	50	25	33.85	-	.74	9.72E-03	1.82E-02
biological process involved in interspecies interaction between organisms (GO:0044419)	280	138	189.56	-	.73	2.01E-10	1.15E-09
defense response (GO:0006952)	344	169	232.89	-	.73	9.22E-13	6.46E-12
external encapsulating structure organization (GO:0045229)	73	35	49.42	-	.71	6.03E-04	1.39E-03
secondary metabolite biosynthetic process (GO:0044550)	48	23	32.50	-	.71	4.98E-03	9.91E-03
response to external biotic stimulus (GO:0043207)	271	129	183.46	-	.70	9.54E-12	6.04E-11
response to other organism (GO:0051707)	271	129	183.46	-	.70	9.54E-12	6.02E-11
response to biotic stimulus (GO:0009607)	271	129	183.46	-	.70	9.54E-12	5.99E-11
defense response to other organism (GO:0098542)	271	129	183.46	-	.70	9.54E-12	5.96E-11
jasmonic acid metabolic process (GO:0009694)	24	11	16.25	-	.68	2.83E-02	4.78E-02
regulation of cellular response to stress (GO:0080135)	19	8	12.86	-	.62	2.50E-02	4.27E-02
cell surface receptor signaling pathway (GO:0007166)	41	17	27.76	-	.61	6.35E-04	1.45E-03
defense response to bacterium (GO:0042742)	38	13	25.73	-	.51	3.05E-05	9.10E-05
response to bacterium (GO:0009617)	38	13	25.73	-	.51	3.05E-05	9.08E-05
glutathione metabolic process (GO:0006749)	87	26	58.90	-	.44	6.33E-13	4.52E-12
extracellular matrix organization (GO:0030198)	27	8	18.28	-	.44	8.32E-05	2.29E-04
extracellular structure organization (GO:0043062)	27	8	18.28	-	.44	8.32E-05	2.28E-04
calcium ion transmembrane import into cytosol (GO:0097553)	15	2	10.15	-	.20	2.14E-05	6.59E-05
negative regulation of sequestering of calcium ion (GO:0051283)	15	2	10.15	-	.20	2.14E-05	6.57E-05
regulation of sequestering of calcium ion (GO:0051282)	15	2	10.15	-	.20	2.14E-05	6.56E-05
release of sequestered calcium ion into cytosol (GO:0051209)	15	2	10.15	-	.20	2.14E-05	6.54E-05
