




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	non_TAGs_high.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	non_TAGs_high.txt (37331)	non_TAGs_high.txt (expected)	non_TAGs_high.txt (over/under)	non_TAGs_high.txt (fold Enrichment)	non_TAGs_high.txt (raw P-value)	non_TAGs_high.txt (FDR)
small molecule metabolic process (GO:0044281)	1328	1118	887.61	+	1.26	2.70E-47	6.84E-46
cell cycle process (GO:0022402)	430	362	287.40	+	1.26	4.33E-16	3.95E-15
regulation of transcription by RNA polymerase II (GO:0006357)	820	690	548.07	+	1.26	2.26E-29	3.54E-28
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	44	37	29.41	+	1.26	1.54E-02	2.87E-02
macromolecule catabolic process (GO:0009057)	999	840	667.71	+	1.26	2.38E-35	4.61E-34
organic substance transport (GO:0071702)	923	776	616.91	+	1.26	1.17E-32	2.10E-31
electron transport chain (GO:0022900)	69	58	46.12	+	1.26	1.92E-03	4.19E-03
nucleobase-containing compound biosynthetic process (GO:0034654)	519	436	346.89	+	1.26	1.04E-18	1.07E-17
monocarboxylic acid biosynthetic process (GO:0072330)	75	63	50.13	+	1.26	1.26E-03	2.84E-03
chromatin remodeling (GO:0006338)	175	147	116.97	+	1.26	4.43E-07	1.95E-06
organelle localization (GO:0051640)	156	131	104.27	+	1.26	2.10E-06	8.30E-06
negative regulation of metabolic process (GO:0009892)	324	272	216.55	+	1.26	3.76E-12	2.66E-11
negative regulation of cellular metabolic process (GO:0031324)	324	272	216.55	+	1.26	3.76E-12	2.64E-11
negative regulation of biosynthetic process (GO:0009890)	280	235	187.15	+	1.26	1.21E-10	7.64E-10
negative regulation of cellular biosynthetic process (GO:0031327)	280	235	187.15	+	1.26	1.21E-10	7.61E-10
organic cyclic compound metabolic process (GO:1901360)	2899	2432	1937.63	+	1.26	5.35E-100	3.39E-98
carbohydrate metabolic process (GO:0005975)	506	424	338.20	+	1.25	7.84E-18	7.75E-17
organic substance catabolic process (GO:1901575)	1474	1235	985.19	+	1.25	6.40E-50	1.65E-48
organophosphate catabolic process (GO:0046434)	154	129	102.93	+	1.25	2.88E-06	1.11E-05
macromolecule metabolic process (GO:0043170)	5907	4948	3948.12	+	1.25	3.11E-209	5.41E-207
monocarboxylic acid metabolic process (GO:0032787)	332	278	221.90	+	1.25	4.38E-12	3.04E-11
protein metabolic process (GO:0019538)	3650	3056	2439.59	+	1.25	2.01E-124	1.65E-122
regulation of protein metabolic process (GO:0051246)	215	180	143.70	+	1.25	3.55E-08	1.76E-07
negative regulation of macromolecule biosynthetic process (GO:0010558)	276	231	184.47	+	1.25	3.18E-10	1.96E-09
primary metabolic process (GO:0044238)	7504	6280	5015.52	+	1.25	2.83E-270	7.89E-268
protein targeting to ER (GO:0045047)	49	41	32.75	+	1.25	1.41E-02	2.64E-02
establishment of protein localization to endoplasmic reticulum (GO:0072599)	49	41	32.75	+	1.25	1.41E-02	2.64E-02
localization (GO:0051179)	2791	2335	1865.45	+	1.25	1.58E-93	9.57E-92
negative regulation of macromolecule metabolic process (GO:0010605)	318	266	212.54	+	1.25	1.89E-11	1.26E-10
protein localization to membrane (GO:0072657)	171	143	114.29	+	1.25	1.18E-06	4.87E-06
establishment of localization (GO:0051234)	2545	2126	1701.03	+	1.25	1.12E-83	5.39E-82
cellular catabolic process (GO:0044248)	686	573	458.51	+	1.25	5.29E-23	6.83E-22
transport (GO:0006810)	2394	1997	1600.10	+	1.25	2.00E-77	7.98E-76
catabolic process (GO:0009056)	1616	1348	1080.10	+	1.25	3.38E-52	9.42E-51
cellular component organization or biogenesis (GO:0071840)	2519	2101	1683.65	+	1.25	1.72E-81	8.01E-80
nitrogen compound metabolic process (GO:0006807)	6706	5590	4482.15	+	1.25	2.24E-228	4.46E-226
mRNA modification (GO:0016556)	42	35	28.07	+	1.25	2.17E-02	3.93E-02
rRNA modification (GO:0000154)	60	50	40.10	+	1.25	5.75E-03	1.17E-02
cellular lipid catabolic process (GO:0044242)	120	100	80.21	+	1.25	6.04E-05	1.78E-04
lipid catabolic process (GO:0016042)	120	100	80.21	+	1.25	6.04E-05	1.78E-04
response to endoplasmic reticulum stress (GO:0034976)	126	105	84.22	+	1.25	3.98E-05	1.21E-04
mitotic cell cycle process (GO:1903047)	282	235	188.48	+	1.25	5.09E-10	3.05E-09
protein-RNA complex assembly (GO:0022618)	203	169	135.68	+	1.25	1.89E-07	8.56E-07
cellular aromatic compound metabolic process (GO:0006725)	2809	2338	1877.48	+	1.25	3.68E-89	1.97E-87
reproductive process (GO:0022414)	220	183	147.04	+	1.24	7.77E-08	3.68E-07
reproduction (GO:0000003)	220	183	147.04	+	1.24	7.77E-08	3.67E-07
organic substance metabolic process (GO:0071704)	8044	6691	5376.44	+	1.24	7.60E-274	2.65E-271
cellular component organization (GO:0016043)	2045	1699	1366.84	+	1.24	3.27E-63	1.06E-61
organonitrogen compound metabolic process (GO:1901564)	4706	3907	3145.39	+	1.24	9.87E-149	1.06E-146
nucleotide metabolic process (GO:0009117)	365	303	243.96	+	1.24	4.06E-12	2.85E-11
cell communication (GO:0007154)	806	669	538.71	+	1.24	3.46E-25	4.87E-24
mitochondrial RNA metabolic process (GO:0000959)	47	39	31.41	+	1.24	1.93E-02	3.55E-02
nucleobase-containing small molecule metabolic process (GO:0055086)	464	385	310.13	+	1.24	5.67E-15	5.01E-14
cellular lipid metabolic process (GO:0044255)	660	547	441.13	+	1.24	1.51E-20	1.68E-19
organic cyclic compound biosynthetic process (GO:1901362)	727	602	485.91	+	1.24	2.90E-22	3.61E-21
cellular response to stress (GO:0033554)	767	635	512.65	+	1.24	2.30E-23	3.02E-22
cellular homeostasis (GO:0019725)	244	202	163.08	+	1.24	2.54E-08	1.28E-07
protein-RNA complex organization (GO:0071826)	209	173	139.69	+	1.24	2.92E-07	1.30E-06
nucleoside diphosphate metabolic process (GO:0009132)	116	96	77.53	+	1.24	1.56E-04	4.35E-04
calcium ion homeostasis (GO:0055074)	58	48	38.77	+	1.24	1.12E-02	2.15E-02
intracellular calcium ion homeostasis (GO:0006874)	58	48	38.77	+	1.24	1.12E-02	2.14E-02
regulation of phosphorus metabolic process (GO:0051174)	110	91	73.52	+	1.24	2.37E-04	6.23E-04
regulation of phosphate metabolic process (GO:0019220)	110	91	73.52	+	1.24	2.37E-04	6.22E-04
signaling (GO:0023052)	770	637	514.65	+	1.24	2.83E-23	3.68E-22
cellular process (GO:0009987)	10779	8917	7204.46	+	1.24	0.00E00	0.00E00
hormone metabolic process (GO:0042445)	81	67	54.14	+	1.24	1.96E-03	4.27E-03
RNA catabolic process (GO:0006401)	133	110	88.89	+	1.24	6.17E-05	1.81E-04
signal transduction (GO:0007165)	768	635	513.32	+	1.24	5.31E-23	6.80E-22
cellular response to stimulus (GO:0051716)	1524	1260	1018.61	+	1.24	9.65E-45	2.36E-43
cellular response to oxidative stress (GO:0034599)	46	38	30.75	+	1.24	2.71E-02	4.86E-02
carbohydrate biosynthetic process (GO:0016051)	207	171	138.35	+	1.24	5.47E-07	2.35E-06
protein-containing complex organization (GO:0043933)	689	569	460.51	+	1.24	1.38E-20	1.55E-19
ribosomal large subunit biogenesis (GO:0042273)	143	118	95.58	+	1.23	3.64E-05	1.11E-04
secretion by cell (GO:0032940)	120	99	80.21	+	1.23	1.95E-04	5.21E-04
secretion (GO:0046903)	120	99	80.21	+	1.23	1.95E-04	5.20E-04
biological_process (GO:0008150)	15251	12580	10193.46	+	1.23	0.00E00	0.00E00
organic hydroxy compound metabolic process (GO:1901615)	251	207	167.76	+	1.23	3.81E-08	1.89E-07
cellular component biogenesis (GO:0044085)	1174	968	784.68	+	1.23	1.08E-33	2.04E-32
metabolic process (GO:0008152)	8527	7030	5699.27	+	1.23	1.37E-265	3.18E-263
aromatic amino acid metabolic process (GO:0009072)	74	61	49.46	+	1.23	4.15E-03	8.60E-03
cell division (GO:0051301)	74	61	49.46	+	1.23	4.15E-03	8.59E-03
RNA modification (GO:0009451)	375	309	250.64	+	1.23	1.71E-11	1.15E-10
homeostatic process (GO:0042592)	374	308	249.97	+	1.23	2.33E-11	1.53E-10
tRNA modification (GO:0006400)	102	84	68.17	+	1.23	6.75E-04	1.63E-03
nucleoside triphosphate metabolic process (GO:0009141)	147	121	98.25	+	1.23	3.28E-05	1.02E-04
nucleoside diphosphate catabolic process (GO:0009134)	107	88	71.52	+	1.23	4.44E-04	1.11E-03
regulation of protein modification process (GO:0031399)	107	88	71.52	+	1.23	4.44E-04	1.11E-03
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	90	74	60.15	+	1.23	1.56E-03	3.45E-03
macromolecule modification (GO:0043412)	2558	2103	1709.71	+	1.23	8.37E-71	2.92E-69
lipid metabolic process (GO:0006629)	783	643	523.34	+	1.23	6.91E-22	8.46E-21
protein modification process (GO:0036211)	2172	1783	1451.72	+	1.23	6.54E-59	2.03E-57
organic cyclic compound catabolic process (GO:1901361)	329	270	219.90	+	1.23	7.11E-10	4.18E-09
cellular component assembly (GO:0022607)	673	552	449.82	+	1.23	1.12E-18	1.14E-17
ribonucleoside triphosphate metabolic process (GO:0009199)	139	114	92.90	+	1.23	9.08E-05	2.61E-04
mitochondrial gene expression (GO:0140053)	50	41	33.42	+	1.23	2.36E-02	4.26E-02
intracellular chemical homeostasis (GO:0055082)	200	164	133.68	+	1.23	2.47E-06	9.63E-06
negative regulation of gene expression, epigenetic (GO:0045814)	50	41	33.42	+	1.23	2.36E-02	4.26E-02
mitochondrion organization (GO:0007005)	161	132	107.61	+	1.23	2.35E-05	7.51E-05
fatty acid biosynthetic process (GO:0006633)	61	50	40.77	+	1.23	1.35E-02	2.54E-02
cellular nitrogen compound catabolic process (GO:0044270)	305	250	203.86	+	1.23	4.86E-09	2.58E-08
heterocycle catabolic process (GO:0046700)	305	250	203.86	+	1.23	4.86E-09	2.57E-08
cellular metabolic process (GO:0044237)	6671	5468	4458.76	+	1.23	1.53E-188	2.37E-186
regulation of molecular function (GO:0065009)	210	172	140.36	+	1.23	1.45E-06	5.91E-06
regulation of catalytic activity (GO:0050790)	204	167	136.35	+	1.22	2.18E-06	8.57E-06
nucleoside phosphate metabolic process (GO:0006753)	391	320	261.34	+	1.22	4.48E-11	2.90E-10
chemical homeostasis (GO:0048878)	330	270	220.57	+	1.22	1.54E-09	8.82E-09
telomere maintenance via telomerase (GO:0007004)	66	54	44.11	+	1.22	8.65E-03	1.68E-02
response to abiotic stimulus (GO:0009628)	355	290	237.27	+	1.22	4.92E-10	2.95E-09
aromatic compound catabolic process (GO:0019439)	322	263	215.22	+	1.22	3.08E-09	1.68E-08
regulation of cell cycle (GO:0051726)	207	169	138.35	+	1.22	2.60E-06	1.01E-05
monoatomic ion transport (GO:0006811)	272	222	181.80	+	1.22	6.47E-08	3.10E-07
steroid metabolic process (GO:0008202)	103	84	68.84	+	1.22	1.10E-03	2.52E-03
purine-containing compound metabolic process (GO:0072521)	349	284	233.26	+	1.22	1.55E-09	8.84E-09
intracellular monoatomic cation homeostasis (GO:0030003)	177	144	118.30	+	1.22	1.99E-05	6.43E-05
intracellular monoatomic ion homeostasis (GO:0006873)	177	144	118.30	+	1.22	1.99E-05	6.41E-05
purine nucleoside triphosphate metabolic process (GO:0009144)	134	109	89.56	+	1.22	2.20E-04	5.81E-04
purine nucleotide metabolic process (GO:0006163)	321	261	214.55	+	1.22	8.66E-09	4.42E-08
negative regulation of nitrogen compound metabolic process (GO:0051172)	123	100	82.21	+	1.22	5.03E-04	1.24E-03
regulation of anatomical structure morphogenesis (GO:0022603)	64	52	42.78	+	1.22	1.60E-02	2.97E-02
organelle assembly (GO:0070925)	287	233	191.82	+	1.21	7.22E-08	3.45E-07
monoatomic ion homeostasis (GO:0050801)	244	198	163.08	+	1.21	7.66E-07	3.26E-06
exocytosis (GO:0006887)	111	90	74.19	+	1.21	1.15E-03	2.62E-03
nucleotide biosynthetic process (GO:0009165)	190	154	126.99	+	1.21	1.86E-05	6.08E-05
nucleoside phosphate biosynthetic process (GO:1901293)	190	154	126.99	+	1.21	1.86E-05	6.06E-05
post-transcriptional regulation of gene expression (GO:0010608)	158	128	105.60	+	1.21	8.98E-05	2.59E-04
sterol metabolic process (GO:0016125)	100	81	66.84	+	1.21	1.98E-03	4.31E-03
carbohydrate catabolic process (GO:0016052)	205	166	137.02	+	1.21	9.79E-06	3.35E-05
purine ribonucleoside triphosphate metabolic process (GO:0009205)	131	106	87.56	+	1.21	5.30E-04	1.30E-03
negative regulation of biological process (GO:0048519)	429	347	286.73	+	1.21	1.21E-10	7.66E-10
ribose phosphate biosynthetic process (GO:0046390)	141	114	94.24	+	1.21	3.06E-04	7.82E-04
meiotic cell cycle (GO:0051321)	130	105	86.89	+	1.21	5.20E-04	1.28E-03
sexual reproduction (GO:0019953)	135	109	90.23	+	1.21	4.60E-04	1.14E-03
negative regulation of cellular process (GO:0048523)	425	343	284.06	+	1.21	2.08E-10	1.29E-09
response to nitrogen compound (GO:1901698)	119	96	79.54	+	1.21	1.19E-03	2.72E-03
mitotic cell cycle phase transition (GO:0044772)	93	75	62.16	+	1.21	3.99E-03	8.36E-03
cell cycle phase transition (GO:0044770)	93	75	62.16	+	1.21	3.99E-03	8.34E-03
ATP metabolic process (GO:0046034)	129	104	86.22	+	1.21	6.91E-04	1.67E-03
telomere maintenance via telomere lengthening (GO:0010833)	67	54	44.78	+	1.21	1.87E-02	3.44E-02
monoatomic cation transport (GO:0006812)	256	206	171.11	+	1.20	1.44E-06	5.87E-06
aromatic compound biosynthetic process (GO:0019438)	686	552	458.51	+	1.20	2.04E-15	1.84E-14
protein polyubiquitination (GO:0000209)	138	111	92.24	+	1.20	5.34E-04	1.31E-03
monoatomic cation homeostasis (GO:0055080)	231	185	154.40	+	1.20	9.17E-06	3.16E-05
response to organonitrogen compound (GO:0010243)	115	92	76.86	+	1.20	2.07E-03	4.49E-03
DNA biosynthetic process (GO:0071897)	80	64	53.47	+	1.20	1.22E-02	2.31E-02
ribose phosphate metabolic process (GO:0019693)	276	220	184.47	+	1.19	2.53E-06	9.83E-06
ribonucleotide biosynthetic process (GO:0009260)	133	106	88.89	+	1.19	1.21E-03	2.75E-03
organic hydroxy compound biosynthetic process (GO:1901617)	118	94	78.87	+	1.19	3.13E-03	6.61E-03
phosphorus metabolic process (GO:0006793)	1934	1540	1292.65	+	1.19	1.14E-36	2.31E-35
phosphate-containing compound metabolic process (GO:0006796)	1910	1519	1276.60	+	1.19	1.38E-35	2.71E-34
recombinational repair (GO:0000725)	151	120	100.93	+	1.19	7.05E-04	1.70E-03
ribonucleotide metabolic process (GO:0009259)	258	205	172.44	+	1.19	8.15E-06	2.85E-05
response to endogenous stimulus (GO:0009719)	199	158	133.01	+	1.19	1.10E-04	3.11E-04
DNA recombination (GO:0006310)	188	149	125.66	+	1.19	2.43E-04	6.35E-04
response to hormone (GO:0009725)	197	156	131.67	+	1.18	1.86E-04	4.98E-04
protein-containing complex assembly (GO:0065003)	422	334	282.06	+	1.18	2.37E-08	1.19E-07
regulation of protein phosphorylation (GO:0001932)	91	72	60.82	+	1.18	1.37E-02	2.57E-02
regulation of phosphorylation (GO:0042325)	91	72	60.82	+	1.18	1.37E-02	2.57E-02
double-strand break repair via homologous recombination (GO:0000724)	143	113	95.58	+	1.18	1.75E-03	3.85E-03
establishment of protein localization to membrane (GO:0090150)	133	105	88.89	+	1.18	3.01E-03	6.37E-03
double-strand break repair (GO:0006302)	185	146	123.65	+	1.18	4.00E-04	1.00E-03
DNA repair (GO:0006281)	403	318	269.36	+	1.18	9.43E-08	4.41E-07
DNA damage response (GO:0006974)	417	329	278.71	+	1.18	6.34E-08	3.05E-07
regulation of transferase activity (GO:0051338)	84	66	56.14	+	1.18	2.68E-02	4.83E-02
fatty acid metabolic process (GO:0006631)	154	121	102.93	+	1.18	1.92E-03	4.20E-03
response to organic substance (GO:0010033)	377	296	251.98	+	1.17	6.83E-07	2.91E-06
DNA metabolic process (GO:0006259)	586	458	391.67	+	1.17	1.65E-09	9.36E-09
response to lipid (GO:0033993)	123	96	82.21	+	1.17	7.22E-03	1.42E-02
peptide metabolic process (GO:0006518)	542	423	362.26	+	1.17	1.10E-08	5.58E-08
amide metabolic process (GO:0043603)	646	503	431.77	+	1.16	7.01E-10	4.14E-09
polysaccharide biosynthetic process (GO:0000271)	131	102	87.56	+	1.16	6.89E-03	1.37E-02
purine-containing compound biosynthetic process (GO:0072522)	152	118	101.59	+	1.16	4.29E-03	8.87E-03
DNA replication (GO:0006260)	201	156	134.34	+	1.16	9.27E-04	2.14E-03
energy derivation by oxidation of organic compounds (GO:0015980)	116	90	77.53	+	1.16	1.34E-02	2.52E-02
inorganic ion transmembrane transport (GO:0098660)	255	197	170.44	+	1.16	3.05E-04	7.80E-04
purine ribonucleotide metabolic process (GO:0009150)	233	180	155.73	+	1.16	6.05E-04	1.47E-03
purine nucleotide biosynthetic process (GO:0006164)	148	114	98.92	+	1.15	8.51E-03	1.65E-02
response to stimulus (GO:0050896)	2354	1813	1573.37	+	1.15	2.76E-28	4.13E-27
transmembrane transport (GO:0055085)	993	764	663.70	+	1.15	2.54E-12	1.87E-11
monoatomic ion transmembrane transport (GO:0034220)	181	139	120.98	+	1.15	4.29E-03	8.87E-03
chromosome organization (GO:0051276)	304	233	203.19	+	1.15	2.34E-04	6.17E-04
regulation of developmental process (GO:0050793)	145	111	96.92	+	1.15	1.32E-02	2.48E-02
lipid modification (GO:0030258)	156	119	104.27	+	1.14	1.32E-02	2.49E-02
response to chemical (GO:0042221)	550	419	367.61	+	1.14	2.03E-06	8.05E-06
non-membrane-bounded organelle assembly (GO:0140694)	205	156	137.02	+	1.14	4.63E-03	9.54E-03
inorganic cation transmembrane transport (GO:0098662)	231	175	154.40	+	1.13	3.98E-03	8.35E-03
monoatomic cation transmembrane transport (GO:0098655)	173	131	115.63	+	1.13	1.21E-02	2.30E-02
polysaccharide metabolic process (GO:0005976)	214	161	143.03	+	1.13	8.72E-03	1.69E-02
cellular response to organic substance (GO:0071310)	176	132	117.63	+	1.12	2.01E-02	3.69E-02
organic anion transport (GO:0015711)	234	175	156.40	+	1.12	9.90E-03	1.90E-02
cellular response to chemical stimulus (GO:0070887)	263	196	175.78	+	1.12	8.50E-03	1.66E-02
phosphorylation (GO:0016310)	1054	770	704.47	+	1.09	1.26E-05	4.23E-05
protein phosphorylation (GO:0006468)	986	720	659.02	+	1.09	2.63E-05	8.33E-05
response to stress (GO:0006950)	1373	978	917.69	+	1.07	4.42E-04	1.10E-03
Unclassified (UNCLASSIFIED)	40602	24751	27137.54	-	.91	0.00E00	0.00E00
cellular modified amino acid metabolic process (GO:0006575)	163	94	108.95	-	.86	1.55E-02	2.87E-02
response to external stimulus (GO:0009605)	347	196	231.93	-	.85	5.89E-05	1.74E-04
response to osmotic stress (GO:0006970)	84	45	56.14	-	.80	1.43E-02	2.66E-02
response to salt stress (GO:0009651)	82	43	54.81	-	.78	6.81E-03	1.38E-02
external encapsulating structure organization (GO:0045229)	73	36	48.79	-	.74	2.54E-03	5.47E-03
secondary metabolite biosynthetic process (GO:0044550)	48	23	32.08	-	.72	8.35E-03	1.63E-02
biological process involved in interspecies interaction between organisms (GO:0044419)	280	134	187.15	-	.72	7.22E-11	4.62E-10
defense response (GO:0006952)	344	161	229.92	-	.70	2.16E-14	1.85E-13
response to external biotic stimulus (GO:0043207)	271	125	181.13	-	.69	3.18E-12	2.30E-11
response to other organism (GO:0051707)	271	125	181.13	-	.69	3.18E-12	2.29E-11
response to biotic stimulus (GO:0009607)	271	125	181.13	-	.69	3.18E-12	2.27E-11
defense response to other organism (GO:0098542)	271	125	181.13	-	.69	3.18E-12	2.26E-11
defense response to bacterium (GO:0042742)	38	15	25.40	-	.59	7.64E-04	1.84E-03
response to bacterium (GO:0009617)	38	15	25.40	-	.59	7.64E-04	1.83E-03
cell surface receptor signaling pathway (GO:0007166)	41	16	27.40	-	.58	3.41E-04	8.67E-04
regulation of cellular response to stress (GO:0080135)	19	7	12.70	-	.55	1.20E-02	2.28E-02
extracellular matrix organization (GO:0030198)	27	9	18.05	-	.50	6.48E-04	1.57E-03
extracellular structure organization (GO:0043062)	27	9	18.05	-	.50	6.48E-04	1.57E-03
glutathione metabolic process (GO:0006749)	87	27	58.15	-	.46	9.89E-12	6.76E-11
calcium ion transmembrane import into cytosol (GO:0097553)	15	2	10.03	-	.20	2.95E-05	9.27E-05
negative regulation of sequestering of calcium ion (GO:0051283)	15	2	10.03	-	.20	2.95E-05	9.25E-05
regulation of sequestering of calcium ion (GO:0051282)	15	2	10.03	-	.20	2.95E-05	9.23E-05
release of sequestered calcium ion into cytosol (GO:0051209)	15	2	10.03	-	.20	2.95E-05	9.21E-05
