




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	small_families_low_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	small_families_low_stringency.txt (14397)	small_families_low_stringency.txt (expected)	small_families_low_stringency.txt (over/under)	small_families_low_stringency.txt (fold Enrichment)	small_families_low_stringency.txt (raw P-value)	small_families_low_stringency.txt (FDR)
nucleotide metabolic process (GO:0009117)	365	163	94.08	+	1.73	5.57E-15	4.27E-14
vesicle organization (GO:0016050)	177	79	45.62	+	1.73	5.87E-08	2.33E-07
cellular catabolic process (GO:0044248)	686	306	176.83	+	1.73	8.32E-27	1.68E-25
modification-dependent macromolecule catabolic process (GO:0043632)	580	258	149.50	+	1.73	1.75E-22	2.32E-21
Golgi to plasma membrane transport (GO:0006893)	36	16	9.28	+	1.72	2.01E-02	3.31E-02
protein deubiquitination (GO:0016579)	113	50	29.13	+	1.72	2.09E-05	5.80E-05
sister chromatid segregation (GO:0000819)	52	23	13.40	+	1.72	3.90E-03	7.72E-03
proteinogenic amino acid biosynthetic process (GO:0170038)	136	60	35.06	+	1.71	4.45E-06	1.41E-05
L-amino acid biosynthetic process (GO:0170034)	136	60	35.06	+	1.71	4.45E-06	1.41E-05
regulation of mRNA metabolic process (GO:1903311)	118	52	30.42	+	1.71	1.86E-05	5.35E-05
lipid biosynthetic process (GO:0008610)	409	180	105.43	+	1.71	1.18E-15	9.49E-15
protein transport (GO:0015031)	475	209	122.44	+	1.71	6.87E-18	6.65E-17
small molecule metabolic process (GO:0044281)	1328	584	342.31	+	1.71	9.17E-48	3.12E-46
negative regulation of nitrogen compound metabolic process (GO:0051172)	123	54	31.71	+	1.70	1.72E-05	5.01E-05
organelle membrane fusion (GO:0090174)	98	43	25.26	+	1.70	1.09E-04	2.81E-04
localization within membrane (GO:0051668)	208	91	53.62	+	1.70	1.78E-08	7.49E-08
DNA damage response (GO:0006974)	417	182	107.49	+	1.69	2.24E-15	1.75E-14
purine-containing compound metabolic process (GO:0072521)	349	152	89.96	+	1.69	5.21E-13	3.49E-12
vesicle budding from membrane (GO:0006900)	69	30	17.79	+	1.69	1.38E-03	2.94E-03
modification-dependent protein catabolic process (GO:0019941)	567	246	146.15	+	1.68	8.14E-20	9.22E-19
nuclear chromosome segregation (GO:0098813)	67	29	17.27	+	1.68	1.88E-03	3.90E-03
regulation of mRNA splicing, via spliceosome (GO:0048024)	44	19	11.34	+	1.68	1.43E-02	2.49E-02
chromatin organization (GO:0006325)	183	79	47.17	+	1.67	4.02E-07	1.48E-06
post-transcriptional regulation of gene expression (GO:0010608)	158	68	40.73	+	1.67	2.52E-06	8.20E-06
purine nucleotide metabolic process (GO:0006163)	321	138	82.74	+	1.67	2.30E-11	1.26E-10
organelle assembly (GO:0070925)	287	123	73.98	+	1.66	2.97E-10	1.46E-09
methylation (GO:0032259)	201	86	51.81	+	1.66	1.63E-07	6.27E-07
intracellular protein transport (GO:0006886)	378	161	97.44	+	1.65	1.13E-12	7.25E-12
DNA repair (GO:0006281)	403	171	103.88	+	1.65	3.10E-13	2.11E-12
biogenic amine metabolic process (GO:0006576)	71	30	18.30	+	1.64	2.55E-03	5.21E-03
organophosphate metabolic process (GO:0019637)	670	283	172.70	+	1.64	1.24E-20	1.56E-19
cellular component organization or biogenesis (GO:0071840)	2519	1061	649.31	+	1.63	1.93E-74	1.03E-72
mitotic nuclear division (GO:0140014)	50	21	12.89	+	1.63	1.41E-02	2.46E-02
mitotic sister chromatid segregation (GO:0000070)	50	21	12.89	+	1.63	1.41E-02	2.45E-02
regulation of RNA splicing (GO:0043484)	55	23	14.18	+	1.62	1.25E-02	2.19E-02
organic hydroxy compound biosynthetic process (GO:1901617)	118	49	30.42	+	1.61	1.95E-04	4.80E-04
organic acid metabolic process (GO:0006082)	752	310	193.84	+	1.60	1.53E-20	1.87E-19
oxoacid metabolic process (GO:0043436)	752	310	193.84	+	1.60	1.53E-20	1.85E-19
carboxylic acid metabolic process (GO:0019752)	752	310	193.84	+	1.60	1.53E-20	1.84E-19
macromolecule localization (GO:0033036)	934	385	240.75	+	1.60	4.55E-25	7.92E-24
cellular component organization (GO:0016043)	2045	839	527.13	+	1.59	6.04E-53	2.55E-51
vesicle-mediated transport (GO:0016192)	751	308	193.58	+	1.59	6.72E-20	7.68E-19
membrane organization (GO:0061024)	310	127	79.91	+	1.59	4.89E-09	2.14E-08
protein localization to membrane (GO:0072657)	171	70	44.08	+	1.59	1.49E-05	4.40E-05
regulation of DNA metabolic process (GO:0051052)	59	24	15.21	+	1.58	1.13E-02	2.01E-02
chromatin remodeling (GO:0006338)	175	71	45.11	+	1.57	1.88E-05	5.38E-05
organelle organization (GO:0006996)	1415	571	364.74	+	1.57	7.73E-34	1.80E-32
carboxylic acid catabolic process (GO:0046395)	159	64	40.98	+	1.56	8.02E-05	2.10E-04
organic acid catabolic process (GO:0016054)	159	64	40.98	+	1.56	8.02E-05	2.09E-04
cellular macromolecule localization (GO:0070727)	781	314	201.32	+	1.56	7.94E-19	8.39E-18
protein localization (GO:0008104)	781	314	201.32	+	1.56	7.94E-19	8.32E-18
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	90	36	23.20	+	1.55	3.48E-03	6.93E-03
glycerolipid metabolic process (GO:0046486)	203	81	52.33	+	1.55	1.18E-05	3.50E-05
inorganic anion transport (GO:0015698)	64	25	16.50	+	1.52	2.12E-02	3.48E-02
positive regulation of mRNA metabolic process (GO:1903313)	73	28	18.82	+	1.49	2.18E-02	3.57E-02
nitrogen compound metabolic process (GO:0006807)	6706	2571	1728.58	+	1.49	3.97E-129	4.26E-127
cellular component disassembly (GO:0022411)	167	64	43.05	+	1.49	3.64E-04	8.55E-04
macromolecule catabolic process (GO:0009057)	999	379	257.51	+	1.47	1.55E-17	1.47E-16
cell cycle process (GO:0022402)	430	163	110.84	+	1.47	3.42E-08	1.40E-07
proteolysis (GO:0006508)	924	349	238.18	+	1.47	7.76E-16	6.36E-15
mitochondrial transport (GO:0006839)	114	43	29.39	+	1.46	5.09E-03	9.58E-03
meiotic cell cycle (GO:0051321)	130	49	33.51	+	1.46	3.38E-03	6.76E-03
glycerophospholipid metabolic process (GO:0006650)	178	67	45.88	+	1.46	5.48E-04	1.24E-03
cellular lipid metabolic process (GO:0044255)	660	247	170.13	+	1.45	3.58E-11	1.92E-10
amino acid catabolic process (GO:0009063)	83	31	21.39	+	1.45	2.29E-02	3.74E-02
ribose phosphate metabolic process (GO:0019693)	276	103	71.14	+	1.45	2.33E-05	6.44E-05
catabolic process (GO:0009056)	1616	603	416.55	+	1.45	4.63E-25	7.97E-24
cellular metabolic process (GO:0044237)	6671	2483	1719.56	+	1.44	2.41E-107	1.87E-105
cellular response to stress (GO:0033554)	767	285	197.71	+	1.44	2.90E-12	1.79E-11
organonitrogen compound catabolic process (GO:1901565)	1045	388	269.37	+	1.44	3.57E-16	3.05E-15
non-membrane-bounded organelle assembly (GO:0140694)	205	76	52.84	+	1.44	3.99E-04	9.21E-04
nitrogen compound transport (GO:0071705)	806	297	207.76	+	1.43	3.07E-12	1.89E-11
protein catabolic process (GO:0030163)	782	286	201.57	+	1.42	2.03E-11	1.13E-10
organic substance catabolic process (GO:1901575)	1474	537	379.95	+	1.41	6.64E-20	7.65E-19
pyridine-containing compound metabolic process (GO:0072524)	162	59	41.76	+	1.41	2.86E-03	5.80E-03
primary metabolic process (GO:0044238)	7504	2724	1934.28	+	1.41	1.32E-104	9.18E-103
sexual reproduction (GO:0019953)	135	49	34.80	+	1.41	7.51E-03	1.37E-02
regulation of protein metabolic process (GO:0051246)	215	78	55.42	+	1.41	7.33E-04	1.62E-03
proteolysis involved in protein catabolic process (GO:0051603)	777	281	200.28	+	1.40	1.25E-10	6.41E-10
organic substance metabolic process (GO:0071704)	8044	2895	2073.47	+	1.40	4.86E-107	3.57E-105
macromolecule metabolic process (GO:0043170)	5907	2120	1522.62	+	1.39	4.24E-74	2.19E-72
purine nucleoside triphosphate metabolic process (GO:0009144)	134	48	34.54	+	1.39	9.93E-03	1.78E-02
RNA modification (GO:0009451)	375	134	96.66	+	1.39	1.86E-05	5.35E-05
metabolic process (GO:0008152)	8527	3044	2197.97	+	1.38	2.48E-108	2.16E-106
DNA recombination (GO:0006310)	188	67	48.46	+	1.38	2.59E-03	5.28E-03
nucleoside triphosphate metabolic process (GO:0009141)	147	52	37.89	+	1.37	1.05E-02	1.87E-02
phospholipid metabolic process (GO:0006644)	244	86	62.89	+	1.37	1.19E-03	2.56E-03
double-strand break repair (GO:0006302)	185	65	47.69	+	1.36	5.27E-03	9.89E-03
monocarboxylic acid metabolic process (GO:0032787)	332	116	85.58	+	1.36	1.97E-04	4.84E-04
lipid metabolic process (GO:0006629)	783	269	201.83	+	1.33	8.07E-08	3.11E-07
purine ribonucleoside triphosphate metabolic process (GO:0009205)	131	45	33.77	+	1.33	2.78E-02	4.50E-02
nicotinamide nucleotide metabolic process (GO:0046496)	156	53	40.21	+	1.32	2.18E-02	3.57E-02
pyridine nucleotide metabolic process (GO:0019362)	156	53	40.21	+	1.32	2.18E-02	3.56E-02
cellular process (GO:0009987)	10779	3649	2778.46	+	1.31	1.02E-96	6.48E-95
small molecule catabolic process (GO:0044282)	246	82	63.41	+	1.29	8.39E-03	1.53E-02
organic substance transport (GO:0071702)	923	307	237.92	+	1.29	3.44E-07	1.28E-06
purine ribonucleotide metabolic process (GO:0009150)	233	77	60.06	+	1.28	1.31E-02	2.29E-02
ribonucleotide metabolic process (GO:0009259)	258	85	66.50	+	1.28	1.01E-02	1.80E-02
post-translational protein modification (GO:0043687)	638	210	164.45	+	1.28	5.93E-05	1.58E-04
organonitrogen compound metabolic process (GO:1901564)	4706	1524	1213.05	+	1.26	3.25E-26	6.13E-25
organic hydroxy compound metabolic process (GO:1901615)	251	81	64.70	+	1.25	2.06E-02	3.39E-02
protein maturation (GO:0051604)	462	149	119.09	+	1.25	1.91E-03	3.96E-03
protein modification by small protein conjugation or removal (GO:0070647)	624	200	160.85	+	1.24	4.58E-04	1.05E-03
cell cycle (GO:0007049)	546	172	140.74	+	1.22	2.67E-03	5.42E-03
biological_process (GO:0008150)	15251	4640	3931.19	+	1.18	2.72E-52	1.11E-50
positive regulation of biological process (GO:0048518)	480	145	123.73	+	1.17	2.77E-02	4.50E-02
establishment of localization (GO:0051234)	2545	760	656.01	+	1.16	1.96E-06	6.44E-06
localization (GO:0051179)	2791	817	719.42	+	1.14	2.00E-05	5.60E-05
transport (GO:0006810)	2394	690	617.09	+	1.12	5.81E-04	1.30E-03
protein metabolic process (GO:0019538)	3650	1051	940.85	+	1.12	1.97E-05	5.53E-05
Unclassified (UNCLASSIFIED)	40602	9757	10465.81	-	.93	2.72E-52	1.08E-50
regulation of metabolic process (GO:0019222)	2282	516	588.22	-	.88	3.93E-04	9.13E-04
macromolecule modification (GO:0043412)	2558	570	659.37	-	.86	3.08E-05	8.47E-05
regulation of biological process (GO:0050789)	3326	737	857.33	-	.86	6.69E-07	2.36E-06
regulation of macromolecule metabolic process (GO:0060255)	2226	493	573.79	-	.86	5.51E-05	1.47E-04
biological regulation (GO:0065007)	3690	810	951.16	-	.85	2.51E-08	1.04E-07
regulation of cellular metabolic process (GO:0031323)	2229	482	574.56	-	.84	3.74E-06	1.19E-05
regulation of primary metabolic process (GO:0080090)	1917	412	494.14	-	.83	1.01E-05	3.04E-05
regulation of macromolecule biosynthetic process (GO:0010556)	2013	426	518.88	-	.82	1.04E-06	3.54E-06
regulation of biosynthetic process (GO:0009889)	2036	430	524.81	-	.82	7.01E-07	2.45E-06
regulation of cellular biosynthetic process (GO:0031326)	2036	430	524.81	-	.82	7.01E-07	2.44E-06
regulation of cellular process (GO:0050794)	3194	672	823.30	-	.82	1.34E-10	6.84E-10
regulation of gene expression (GO:0010468)	2009	422	517.85	-	.81	3.98E-07	1.47E-06
regulation of nitrogen compound metabolic process (GO:0051171)	1902	398	490.27	-	.81	5.93E-07	2.16E-06
protein modification process (GO:0036211)	2172	428	559.87	-	.76	1.31E-11	7.50E-11
monoatomic ion transport (GO:0006811)	272	52	70.11	-	.74	1.22E-02	2.14E-02
response to stimulus (GO:0050896)	2354	450	606.78	-	.74	7.92E-15	5.84E-14
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1691	323	435.88	-	.74	6.28E-11	3.33E-10
positive regulation of DNA-templated transcription (GO:0045893)	276	52	71.14	-	.73	8.59E-03	1.56E-02
positive regulation of RNA biosynthetic process (GO:1902680)	276	52	71.14	-	.73	8.59E-03	1.56E-02
monoatomic cation transport (GO:0006812)	256	48	65.99	-	.73	9.78E-03	1.75E-02
peptidyl-amino acid modification (GO:0018193)	419	77	108.00	-	.71	3.99E-04	9.20E-04
regulation of RNA metabolic process (GO:0051252)	1632	299	420.67	-	.71	5.93E-13	3.94E-12
intracellular signal transduction (GO:0035556)	356	65	91.76	-	.71	9.95E-04	2.17E-03
phosphorus metabolic process (GO:0006793)	1934	352	498.52	-	.71	1.11E-15	9.00E-15
phosphate-containing compound metabolic process (GO:0006796)	1910	346	492.33	-	.70	7.52E-16	6.24E-15
metal ion transport (GO:0030001)	210	38	54.13	-	.70	1.12E-02	1.99E-02
inorganic ion transmembrane transport (GO:0098660)	255	46	65.73	-	.70	4.03E-03	7.95E-03
monoatomic cation homeostasis (GO:0055080)	231	41	59.54	-	.69	5.14E-03	9.67E-03
transmembrane transport (GO:0055085)	993	176	255.96	-	.69	1.37E-09	6.26E-09
cellular response to organic substance (GO:0071310)	176	31	45.37	-	.68	1.22E-02	2.14E-02
inorganic cation transmembrane transport (GO:0098662)	231	40	59.54	-	.67	2.53E-03	5.18E-03
regulation of developmental process (GO:0050793)	145	25	37.38	-	.67	1.74E-02	2.92E-02
chemical homeostasis (GO:0048878)	330	56	85.06	-	.66	1.84E-04	4.55E-04
response to abiotic stimulus (GO:0009628)	355	60	91.51	-	.66	7.26E-05	1.92E-04
monoatomic ion homeostasis (GO:0050801)	244	41	62.89	-	.65	9.40E-04	2.06E-03
import into cell (GO:0098657)	155	26	39.95	-	.65	9.79E-03	1.75E-02
nucleoside diphosphate metabolic process (GO:0009132)	116	19	29.90	-	.64	1.93E-02	3.19E-02
cellular response to chemical stimulus (GO:0070887)	263	43	67.79	-	.63	2.99E-04	7.12E-04
regulation of transcription by RNA polymerase II (GO:0006357)	820	133	211.37	-	.63	4.52E-11	2.41E-10
carbohydrate metabolic process (GO:0005975)	506	82	130.43	-	.63	2.89E-07	1.08E-06
response to organic substance (GO:0010033)	377	61	97.18	-	.63	8.70E-06	2.64E-05
lipid modification (GO:0030258)	156	25	40.21	-	.62	4.38E-03	8.55E-03
endocytosis (GO:0006897)	144	23	37.12	-	.62	7.26E-03	1.33E-02
nucleoside diphosphate catabolic process (GO:0009134)	107	17	27.58	-	.62	1.97E-02	3.25E-02
regulation of DNA-templated transcription (GO:0006355)	1498	238	386.13	-	.62	1.39E-20	1.73E-19
regulation of RNA biosynthetic process (GO:2001141)	1498	238	386.13	-	.62	1.39E-20	1.72E-19
cell communication (GO:0007154)	806	126	207.76	-	.61	4.04E-12	2.40E-11
response to chemical (GO:0042221)	550	83	141.77	-	.59	1.79E-09	8.04E-09
signaling (GO:0023052)	770	116	198.48	-	.58	6.84E-13	4.48E-12
sterol metabolic process (GO:0016125)	100	15	25.78	-	.58	1.17E-02	2.07E-02
maintenance of location (GO:0051235)	87	13	22.43	-	.58	1.95E-02	3.22E-02
signal transduction (GO:0007165)	768	114	197.96	-	.58	1.89E-13	1.30E-12
response to lipid (GO:0033993)	123	18	31.71	-	.57	3.71E-03	7.36E-03
regulation of pH (GO:0006885)	89	13	22.94	-	.57	1.49E-02	2.57E-02
steroid metabolic process (GO:0008202)	103	15	26.55	-	.56	9.06E-03	1.64E-02
cellular developmental process (GO:0048869)	188	27	48.46	-	.56	2.15E-04	5.26E-04
telomere maintenance (GO:0000723)	79	11	20.36	-	.54	1.42E-02	2.47E-02
telomere organization (GO:0032200)	79	11	20.36	-	.54	1.42E-02	2.47E-02
organic anion transport (GO:0015711)	234	32	60.32	-	.53	8.52E-06	2.59E-05
glycolytic process (GO:0006096)	89	12	22.94	-	.52	7.21E-03	1.32E-02
cell differentiation (GO:0030154)	186	25	47.94	-	.52	5.02E-05	1.36E-04
response to reactive oxygen species (GO:0000302)	84	11	21.65	-	.51	5.91E-03	1.10E-02
response to abscisic acid (GO:0009737)	62	8	15.98	-	.50	1.95E-02	3.22E-02
response to radiation (GO:0009314)	146	18	37.63	-	.48	8.95E-05	2.33E-04
carbohydrate catabolic process (GO:0016052)	205	25	52.84	-	.47	2.73E-06	8.84E-06
cell division (GO:0051301)	74	9	19.07	-	.47	7.22E-03	1.32E-02
regulation of transferase activity (GO:0051338)	84	10	21.65	-	.46	2.54E-03	5.19E-03
steroid biosynthetic process (GO:0006694)	59	7	15.21	-	.46	1.61E-02	2.77E-02
intracellular signaling cassette (GO:0141124)	69	8	17.79	-	.45	5.52E-03	1.03E-02
carbohydrate biosynthetic process (GO:0016051)	207	23	53.36	-	.43	2.47E-07	9.29E-07
DNA conformation change (GO:0071103)	92	10	23.71	-	.42	7.16E-04	1.59E-03
cellular response to lipid (GO:0071396)	92	10	23.71	-	.42	7.16E-04	1.59E-03
maintenance of location in cell (GO:0051651)	66	7	17.01	-	.41	4.34E-03	8.51E-03
calcium ion transport (GO:0006816)	66	7	17.01	-	.41	4.34E-03	8.50E-03
response to hormone (GO:0009725)	197	20	50.78	-	.39	7.23E-08	2.81E-07
response to endogenous stimulus (GO:0009719)	199	20	51.30	-	.39	3.57E-08	1.46E-07
potassium ion transport (GO:0006813)	50	5	12.89	-	.39	8.96E-03	1.62E-02
regulation of kinase activity (GO:0043549)	82	8	21.14	-	.38	5.35E-04	1.21E-03
regulation of protein kinase activity (GO:0045859)	82	8	21.14	-	.38	5.35E-04	1.21E-03
cell fate commitment (GO:0045165)	41	4	10.57	-	.38	1.89E-02	3.13E-02
protein depolymerization (GO:0051261)	62	6	15.98	-	.38	2.15E-03	4.43E-03
response to oxygen-containing compound (GO:1901700)	302	29	77.85	-	.37	1.95E-12	1.22E-11
developmental process (GO:0032502)	421	40	108.52	-	.37	4.03E-17	3.69E-16
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	55	5	14.18	-	.35	3.04E-03	6.11E-03
mitotic spindle organization (GO:0007052)	55	5	14.18	-	.35	3.04E-03	6.11E-03
regulation of transcription elongation by RNA polymerase II (GO:0034243)	45	4	11.60	-	.34	9.38E-03	1.69E-02
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	45	4	11.60	-	.34	9.38E-03	1.69E-02
microtubule-based movement (GO:0007018)	58	5	14.95	-	.33	1.46E-03	3.11E-03
mitotic cell cycle phase transition (GO:0044772)	93	8	23.97	-	.33	4.24E-05	1.16E-04
cell cycle phase transition (GO:0044770)	93	8	23.97	-	.33	4.24E-05	1.16E-04
multicellular organism development (GO:0007275)	210	18	54.13	-	.33	3.45E-10	1.66E-09
response to light stimulus (GO:0009416)	140	12	36.09	-	.33	4.94E-07	1.80E-06
shoot system development (GO:0048367)	70	6	18.04	-	.33	5.09E-04	1.16E-03
tissue development (GO:0009888)	70	6	18.04	-	.33	5.09E-04	1.16E-03
dephosphorylation (GO:0016311)	249	21	64.18	-	.33	5.66E-12	3.33E-11
anatomical structure development (GO:0048856)	298	25	76.81	-	.33	3.27E-14	2.39E-13
response to cold (GO:0009409)	36	3	9.28	-	.32	1.29E-02	2.26E-02
secondary metabolite biosynthetic process (GO:0044550)	48	4	12.37	-	.32	4.35E-03	8.52E-03
multicellular organismal process (GO:0032501)	218	18	56.19	-	.32	8.44E-11	4.42E-10
external encapsulating structure organization (GO:0045229)	73	6	18.82	-	.32	2.39E-04	5.81E-04
carboxylic acid transport (GO:0046942)	202	16	52.07	-	.31	1.40E-10	7.11E-10
organic acid transport (GO:0015849)	202	16	52.07	-	.31	1.40E-10	7.09E-10
calcium ion transmembrane transport (GO:0070588)	64	5	16.50	-	.30	4.76E-04	1.09E-03
cellular response to oxygen-containing compound (GO:1901701)	129	10	33.25	-	.30	2.75E-07	1.03E-06
positive regulation of DNA-templated transcription, elongation (GO:0032786)	53	4	13.66	-	.29	1.38E-03	2.95E-03
regulation of DNA-templated transcription elongation (GO:0032784)	53	4	13.66	-	.29	1.38E-03	2.95E-03
regulation of protein serine/threonine kinase activity (GO:0071900)	80	6	20.62	-	.29	5.28E-05	1.43E-04
diterpenoid metabolic process (GO:0016101)	40	3	10.31	-	.29	5.95E-03	1.10E-02
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	80	6	20.62	-	.29	5.28E-05	1.42E-04
response to external stimulus (GO:0009605)	347	26	89.44	-	.29	2.29E-18	2.29E-17
system development (GO:0048731)	136	10	35.06	-	.29	6.07E-08	2.40E-07
hormone-mediated signaling pathway (GO:0009755)	137	10	35.31	-	.28	4.11E-08	1.67E-07
cellular response to hormone stimulus (GO:0032870)	137	10	35.31	-	.28	4.11E-08	1.66E-07
cellular response to endogenous stimulus (GO:0071495)	139	10	35.83	-	.28	2.80E-08	1.15E-07
secondary metabolic process (GO:0019748)	59	4	15.21	-	.26	2.85E-04	6.89E-04
phospholipid translocation (GO:0045332)	30	2	7.73	-	.26	1.21E-02	2.13E-02
establishment or maintenance of cell polarity (GO:0007163)	30	2	7.73	-	.26	1.21E-02	2.13E-02
carbohydrate transport (GO:0008643)	61	4	15.72	-	.25	1.91E-04	4.69E-04
glucan metabolic process (GO:0044042)	114	7	29.39	-	.24	7.80E-08	3.01E-07
oligosaccharide biosynthetic process (GO:0009312)	49	3	12.63	-	.24	8.26E-04	1.83E-03
phospholipid catabolic process (GO:0009395)	33	2	8.51	-	.24	8.22E-03	1.50E-02
gibberellin metabolic process (GO:0009685)	34	2	8.76	-	.23	5.27E-03	9.88E-03
phosphate ion transport (GO:0006817)	34	2	8.76	-	.23	5.27E-03	9.87E-03
DNA geometric change (GO:0032392)	86	5	22.17	-	.23	2.81E-06	9.06E-06
DNA duplex unwinding (GO:0032508)	86	5	22.17	-	.23	2.81E-06	9.04E-06
protein dephosphorylation (GO:0006470)	176	10	45.37	-	.22	4.57E-12	2.70E-11
cell wall biogenesis (GO:0042546)	149	8	38.41	-	.21	1.01E-10	5.25E-10
polysaccharide metabolic process (GO:0005976)	214	11	55.16	-	.20	2.57E-15	1.99E-14
regulation of multicellular organismal process (GO:0051239)	39	2	10.05	-	.20	1.50E-03	3.17E-03
organic acid transmembrane transport (GO:1903825)	163	8	42.02	-	.19	3.82E-12	2.31E-11
carboxylic acid transmembrane transport (GO:1905039)	163	8	42.02	-	.19	3.82E-12	2.30E-11
post-embryonic development (GO:0009791)	126	6	32.48	-	.18	1.01E-09	4.68E-09
peptidyl-threonine phosphorylation (GO:0018107)	43	2	11.08	-	.18	6.58E-04	1.47E-03
peptidyl-serine phosphorylation (GO:0018105)	173	8	44.59	-	.18	3.09E-13	2.12E-12
peptidyl-serine modification (GO:0018209)	173	8	44.59	-	.18	3.09E-13	2.11E-12
developmental process involved in reproduction (GO:0003006)	87	4	22.43	-	.18	4.08E-07	1.50E-06
polysaccharide biosynthetic process (GO:0000271)	131	6	33.77	-	.18	2.87E-10	1.42E-09
negative regulation of DNA recombination (GO:0045910)	23	1	5.93	-	.17	1.55E-02	2.67E-02
plant organ development (GO:0099402)	46	2	11.86	-	.17	2.73E-04	6.62E-04
xylan biosynthetic process (GO:0045492)	47	2	12.11	-	.17	1.77E-04	4.38E-04
phosphorylation (GO:0016310)	1054	42	271.69	-	.15	7.83E-82	4.55E-80
response to external biotic stimulus (GO:0043207)	271	10	69.85	-	.14	1.63E-22	2.27E-21
response to other organism (GO:0051707)	271	10	69.85	-	.14	1.63E-22	2.25E-21
response to biotic stimulus (GO:0009607)	271	10	69.85	-	.14	1.63E-22	2.22E-21
defense response to other organism (GO:0098542)	271	10	69.85	-	.14	1.63E-22	2.20E-21
phosphatidylinositol dephosphorylation (GO:0046856)	55	2	14.18	-	.14	3.31E-05	9.08E-05
protein peptidyl-prolyl isomerization (GO:0000413)	56	2	14.43	-	.14	2.01E-05	5.60E-05
biological process involved in interspecies interaction between organisms (GO:0044419)	280	10	72.17	-	.14	1.96E-23	2.84E-22
cell wall organization or biogenesis (GO:0071554)	226	8	58.26	-	.14	3.38E-19	3.74E-18
defense response (GO:0006952)	344	12	88.67	-	.14	4.99E-29	1.07E-27
phospholipid dephosphorylation (GO:0046839)	64	2	16.50	-	.12	2.19E-06	7.15E-06
telomere maintenance via telomerase (GO:0007004)	66	2	17.01	-	.12	1.42E-06	4.75E-06
telomere maintenance via telomere lengthening (GO:0010833)	67	2	17.27	-	.12	8.98E-07	3.07E-06
protein phosphorylation (GO:0006468)	986	29	254.16	-	.11	1.18E-86	7.15E-85
phytosteroid metabolic process (GO:0016128)	34	1	8.76	-	.11	6.90E-04	1.54E-03
amino acid transmembrane transport (GO:0003333)	143	4	36.86	-	.11	1.46E-13	1.02E-12
reproductive system development (GO:0061458)	77	2	19.85	-	.10	6.09E-08	2.40E-07
response to osmotic stress (GO:0006970)	84	2	21.65	-	.09	1.01E-08	4.32E-08
amino acid transport (GO:0006865)	170	4	43.82	-	.09	6.87E-17	6.21E-16
hormone metabolic process (GO:0042445)	81	1	20.88	-	.05	1.75E-09	7.91E-09
regulation of hormone levels (GO:0010817)	101	1	26.03	-	.04	3.91E-12	2.35E-11
mitotic cytokinesis (GO:0000281)	57	0	14.69	-	 < 0.01	5.65E-08	2.26E-07
actin filament bundle organization (GO:0061572)	38	0	9.80	-	 < 0.01	1.84E-05	5.33E-05
protein K63-linked ubiquitination (GO:0070534)	14	0	3.61	-	 < 0.01	2.79E-02	4.51E-02
intracellular glucose homeostasis (GO:0001678)	14	0	3.61	-	 < 0.01	2.79E-02	4.51E-02
long-chain fatty acid metabolic process (GO:0001676)	31	0	7.99	-	 < 0.01	1.29E-04	3.29E-04
Rho protein signal transduction (GO:0007266)	13	0	3.35	-	 < 0.01	2.76E-02	4.50E-02
hormone biosynthetic process (GO:0042446)	36	0	9.28	-	 < 0.01	2.99E-05	8.24E-05
embryo development (GO:0009790)	14	0	3.61	-	 < 0.01	2.79E-02	4.50E-02
extracellular matrix organization (GO:0030198)	27	0	6.96	-	 < 0.01	5.56E-04	1.25E-03
defense response to bacterium (GO:0042742)	38	0	9.80	-	 < 0.01	1.84E-05	5.31E-05
root development (GO:0048364)	13	0	3.35	-	 < 0.01	2.76E-02	4.50E-02
innate immune response (GO:0045087)	21	0	5.41	-	 < 0.01	4.15E-03	8.18E-03
seed development (GO:0048316)	27	0	6.96	-	 < 0.01	5.56E-04	1.25E-03
immune system process (GO:0002376)	26	0	6.70	-	 < 0.01	9.84E-04	2.16E-03
reproductive structure development (GO:0048608)	75	0	19.33	-	 < 0.01	2.83E-10	1.40E-09
MAPK cascade (GO:0000165)	31	0	7.99	-	 < 0.01	1.29E-04	3.29E-04
vegetative to reproductive phase transition of meristem (GO:0010228)	13	0	3.35	-	 < 0.01	2.76E-02	4.49E-02
fluid transport (GO:0042044)	26	0	6.70	-	 < 0.01	9.84E-04	2.15E-03
actin filament bundle assembly (GO:0051017)	38	0	9.80	-	 < 0.01	1.84E-05	5.30E-05
cell surface receptor signaling pathway (GO:0007166)	41	0	10.57	-	 < 0.01	6.99E-06	2.13E-05
jasmonic acid metabolic process (GO:0009694)	24	0	6.19	-	 < 0.01	1.51E-03	3.19E-03
response to salt stress (GO:0009651)	82	0	21.14	-	 < 0.01	4.28E-11	2.29E-10
