




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	large_families_low_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	large_families_low_stringency.txt (31045)	large_families_low_stringency.txt (expected)	large_families_low_stringency.txt (over/under)	large_families_low_stringency.txt (fold Enrichment)	large_families_low_stringency.txt (raw P-value)	large_families_low_stringency.txt (FDR)
regulation of mitotic metaphase/anaphase transition (GO:0030071)	35	9	19.45	-	.46	4.82E-04	1.31E-03
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	35	9	19.45	-	.46	4.82E-04	1.31E-03
rRNA modification (GO:0000154)	60	15	33.35	-	.45	2.67E-06	1.02E-05
double-strand break repair via nonhomologous end joining (GO:0006303)	16	4	8.89	-	.45	2.07E-02	3.72E-02
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	20	5	11.12	-	.45	6.63E-03	1.35E-02
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	24	6	13.34	-	.45	3.28E-03	7.20E-03
cotranslational protein targeting to membrane (GO:0006613)	24	6	13.34	-	.45	3.28E-03	7.19E-03
COPII-coated vesicle budding (GO:0090114)	20	5	11.12	-	.45	6.63E-03	1.35E-02
GPI anchor biosynthetic process (GO:0006506)	40	10	22.23	-	.45	1.63E-04	4.78E-04
GPI anchor metabolic process (GO:0006505)	40	10	22.23	-	.45	1.63E-04	4.77E-04
ncRNA metabolic process (GO:0034660)	574	141	319.05	-	.44	5.62E-52	2.31E-50
regulation of nuclear division (GO:0051783)	37	9	20.57	-	.44	1.74E-04	5.06E-04
nucleoside monophosphate metabolic process (GO:0009123)	33	8	18.34	-	.44	3.30E-04	9.16E-04
macromolecule methylation (GO:0043414)	124	30	68.92	-	.44	2.11E-12	1.77E-11
RNA 3'-end processing (GO:0031123)	83	20	46.13	-	.43	6.34E-09	3.73E-08
ceramide biosynthetic process (GO:0046513)	21	5	11.67	-	.43	3.84E-03	8.24E-03
RNA transport (GO:0050658)	59	14	32.79	-	.43	1.04E-06	4.28E-06
nucleic acid transport (GO:0050657)	59	14	32.79	-	.43	1.04E-06	4.27E-06
RNA export from nucleus (GO:0006405)	59	14	32.79	-	.43	1.04E-06	4.26E-06
establishment of RNA localization (GO:0051236)	59	14	32.79	-	.43	1.04E-06	4.24E-06
establishment of protein localization to vacuole (GO:0072666)	38	9	21.12	-	.43	1.04E-04	3.20E-04
protein localization to vacuole (GO:0072665)	38	9	21.12	-	.43	1.04E-04	3.19E-04
intracellular protein transmembrane transport (GO:0065002)	38	9	21.12	-	.43	1.04E-04	3.19E-04
lysine biosynthetic process (GO:0009085)	17	4	9.45	-	.42	1.22E-02	2.35E-02
sphingolipid metabolic process (GO:0006665)	52	12	28.90	-	.42	2.17E-06	8.50E-06
aspartate family amino acid metabolic process (GO:0009066)	57	13	31.68	-	.41	6.57E-07	2.78E-06
protein transmembrane import into intracellular organelle (GO:0044743)	66	15	36.69	-	.41	7.04E-08	3.62E-07
negative regulation of chromosome separation (GO:1905819)	22	5	12.23	-	.41	2.20E-03	5.09E-03
negative regulation of mitotic sister chromatid segregation (GO:0033048)	22	5	12.23	-	.41	2.20E-03	5.08E-03
regulation of mitotic sister chromatid segregation (GO:0033047)	22	5	12.23	-	.41	2.20E-03	5.08E-03
negative regulation of sister chromatid segregation (GO:0033046)	22	5	12.23	-	.41	2.20E-03	5.07E-03
negative regulation of mitotic sister chromatid separation (GO:2000816)	22	5	12.23	-	.41	2.20E-03	5.06E-03
negative regulation of chromosome segregation (GO:0051985)	22	5	12.23	-	.41	2.20E-03	5.05E-03
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	22	5	12.23	-	.41	2.20E-03	5.04E-03
mitotic spindle assembly checkpoint signaling (GO:0007094)	22	5	12.23	-	.41	2.20E-03	5.03E-03
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	22	5	12.23	-	.41	2.20E-03	5.03E-03
negative regulation of mitotic nuclear division (GO:0045839)	22	5	12.23	-	.41	2.20E-03	5.02E-03
regulation of sister chromatid segregation (GO:0033045)	40	9	22.23	-	.40	3.69E-05	1.20E-04
regulation of chromosome segregation (GO:0051983)	40	9	22.23	-	.40	3.69E-05	1.20E-04
tRNA processing (GO:0008033)	130	29	72.26	-	.40	1.21E-14	1.22E-13
mRNA export from nucleus (GO:0006406)	45	10	25.01	-	.40	6.78E-06	2.50E-05
RNA localization (GO:0006403)	63	14	35.02	-	.40	7.93E-08	4.02E-07
mRNA transport (GO:0051028)	45	10	25.01	-	.40	6.78E-06	2.49E-05
tRNA metabolic process (GO:0006399)	248	55	137.85	-	.40	6.83E-27	1.22E-25
mitochondrial respiratory chain complex assembly (GO:0033108)	32	7	17.79	-	.39	1.27E-04	3.81E-04
porphyrin-containing compound metabolic process (GO:0006778)	32	7	17.79	-	.39	1.27E-04	3.80E-04
liposaccharide metabolic process (GO:1903509)	55	12	30.57	-	.39	4.16E-07	1.82E-06
glycolipid metabolic process (GO:0006664)	55	12	30.57	-	.39	4.16E-07	1.81E-06
glycolipid biosynthetic process (GO:0009247)	55	12	30.57	-	.39	4.16E-07	1.81E-06
positive regulation of organelle organization (GO:0010638)	19	4	10.56	-	.38	4.13E-03	8.76E-03
RNA methylation (GO:0001510)	86	18	47.80	-	.38	5.95E-11	4.46E-10
negative regulation of nuclear division (GO:0051784)	24	5	13.34	-	.37	7.06E-04	1.81E-03
negative regulation of chromosome organization (GO:2001251)	24	5	13.34	-	.37	7.06E-04	1.81E-03
tetrapyrrole metabolic process (GO:0033013)	34	7	18.90	-	.37	4.04E-05	1.29E-04
ribonucleoside triphosphate biosynthetic process (GO:0009201)	49	10	27.24	-	.37	7.36E-07	3.09E-06
nucleoside triphosphate biosynthetic process (GO:0009142)	50	10	27.79	-	.36	4.20E-07	1.82E-06
tRNA modification (GO:0006400)	102	20	56.70	-	.35	1.21E-13	1.11E-12
maturation of 5.8S rRNA (GO:0000460)	51	10	28.35	-	.35	2.40E-07	1.10E-06
regulation of chromosome organization (GO:0033044)	46	9	25.57	-	.35	7.54E-07	3.16E-06
glycosylation (GO:0070085)	85	16	47.25	-	.34	5.54E-12	4.49E-11
mitochondrial RNA processing (GO:0000963)	16	3	8.89	-	.34	4.14E-03	8.75E-03
DNA-templated transcription elongation (GO:0006354)	33	6	18.34	-	.33	1.32E-05	4.64E-05
energy derivation by oxidation of organic compounds (GO:0015980)	116	21	64.48	-	.33	1.29E-16	1.46E-15
protein import into peroxisome matrix (GO:0016558)	17	3	9.45	-	.32	2.27E-03	5.15E-03
Arp2/3 complex-mediated actin nucleation (GO:0034314)	17	3	9.45	-	.32	2.27E-03	5.14E-03
signal peptide processing (GO:0006465)	23	4	12.78	-	.31	2.26E-04	6.53E-04
tRNA methylation (GO:0030488)	35	6	19.45	-	.31	3.86E-06	1.47E-05
chromosome organization involved in meiotic cell cycle (GO:0070192)	12	2	6.67	-	.30	7.90E-03	1.57E-02
plastid membrane organization (GO:0009668)	12	2	6.67	-	.30	7.90E-03	1.56E-02
thylakoid membrane organization (GO:0010027)	12	2	6.67	-	.30	7.90E-03	1.56E-02
regulation of mitotic sister chromatid separation (GO:0010965)	31	5	17.23	-	.29	1.12E-05	4.01E-05
regulation of chromosome separation (GO:1905818)	31	5	17.23	-	.29	1.12E-05	4.00E-05
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	31	5	17.23	-	.29	1.12E-05	3.99E-05
regulation of mitotic nuclear division (GO:0007088)	31	5	17.23	-	.29	1.12E-05	3.98E-05
cell cycle checkpoint signaling (GO:0000075)	56	9	31.13	-	.29	2.05E-09	1.26E-08
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	63	10	35.02	-	.29	1.08E-10	7.81E-10
arginine metabolic process (GO:0006525)	19	3	10.56	-	.28	6.70E-04	1.77E-03
poly(A)+ mRNA export from nucleus (GO:0016973)	13	2	7.23	-	.28	4.13E-03	8.76E-03
negative regulation of cell cycle (GO:0045786)	59	9	32.79	-	.27	1.88E-10	1.30E-09
negative regulation of cell cycle process (GO:0010948)	59	9	32.79	-	.27	1.88E-10	1.29E-09
negative regulation of cell cycle phase transition (GO:1901988)	59	9	32.79	-	.27	1.88E-10	1.29E-09
spliceosomal snRNP assembly (GO:0000387)	33	5	18.34	-	.27	3.34E-06	1.28E-05
maturation of SSU-rRNA (GO:0030490)	80	12	44.47	-	.27	9.56E-14	8.82E-13
iron-sulfur cluster assembly (GO:0016226)	27	4	15.01	-	.27	1.79E-05	6.08E-05
reciprocal meiotic recombination (GO:0007131)	34	5	18.90	-	.26	1.83E-06	7.24E-06
homologous recombination (GO:0035825)	34	5	18.90	-	.26	1.83E-06	7.22E-06
reciprocal homologous recombination (GO:0140527)	34	5	18.90	-	.26	1.83E-06	7.20E-06
peroxisome organization (GO:0007031)	43	6	23.90	-	.25	2.50E-08	1.38E-07
meiosis I (GO:0007127)	36	5	20.01	-	.25	2.87E-07	1.28E-06
protein glycosylation (GO:0006486)	75	10	41.69	-	.24	3.41E-14	3.32E-13
macromolecule glycosylation (GO:0043413)	75	10	41.69	-	.24	3.41E-14	3.30E-13
glycoprotein biosynthetic process (GO:0009101)	76	10	42.24	-	.24	1.76E-14	1.75E-13
meiotic nuclear division (GO:0140013)	39	5	21.68	-	.23	3.89E-08	2.10E-07
meiosis I cell cycle process (GO:0061982)	39	5	21.68	-	.23	3.89E-08	2.09E-07
DNA integrity checkpoint signaling (GO:0031570)	32	4	17.79	-	.22	6.98E-07	2.95E-06
microtubule nucleation (GO:0007020)	16	2	8.89	-	.22	5.62E-04	1.49E-03
meiotic cell cycle process (GO:1903046)	57	7	31.68	-	.22	1.44E-11	1.12E-10
protein targeting to ER (GO:0045047)	49	6	27.24	-	.22	5.66E-10	3.74E-09
establishment of protein localization to endoplasmic reticulum (GO:0072599)	49	6	27.24	-	.22	5.66E-10	3.72E-09
negative regulation of mitotic cell cycle phase transition (GO:1901991)	41	5	22.79	-	.22	1.02E-08	5.91E-08
mitotic cell cycle checkpoint signaling (GO:0007093)	41	5	22.79	-	.22	1.02E-08	5.88E-08
DNA replication checkpoint signaling (GO:0000076)	25	3	13.90	-	.22	8.12E-06	2.96E-05
aerobic respiration (GO:0009060)	104	12	57.81	-	.21	6.09E-21	8.24E-20
negative regulation of mitotic cell cycle (GO:0045930)	44	5	24.46	-	.20	1.35E-09	8.34E-09
protein N-linked glycosylation (GO:0006487)	62	7	34.46	-	.20	5.47E-13	4.77E-12
cellular respiration (GO:0045333)	107	12	59.47	-	.20	7.75E-22	1.14E-20
microtubule polymerization (GO:0046785)	18	2	10.01	-	.20	1.44E-04	4.29E-04
snRNA metabolic process (GO:0016073)	36	4	20.01	-	.20	5.18E-08	2.70E-07
protein polymerization (GO:0051258)	18	2	10.01	-	.20	1.44E-04	4.28E-04
pseudouridine synthesis (GO:0001522)	37	4	20.57	-	.19	2.72E-08	1.48E-07
transcription initiation at RNA polymerase II promoter (GO:0006367)	54	5	30.02	-	.17	1.69E-12	1.44E-11
transcription by RNA polymerase II (GO:0006366)	121	11	67.26	-	.16	3.88E-27	7.20E-26
chlorophyll metabolic process (GO:0015994)	11	1	6.11	-	.16	3.52E-03	7.61E-03
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	24	2	13.34	-	.15	2.36E-06	9.07E-06
protein neddylation (GO:0045116)	13	1	7.23	-	.14	4.52E-04	1.23E-03
signal transduction in response to DNA damage (GO:0042770)	19	1	10.56	-	.09	4.97E-06	1.87E-05
DNA damage checkpoint signaling (GO:0000077)	19	1	10.56	-	.09	4.97E-06	1.87E-05
ATP biosynthetic process (GO:0006754)	39	2	21.68	-	.09	2.14E-11	1.67E-10
proton motive force-driven ATP synthesis (GO:0015986)	39	2	21.68	-	.09	2.14E-11	1.66E-10
purine nucleoside triphosphate biosynthetic process (GO:0009145)	41	2	22.79	-	.09	4.66E-12	3.82E-11
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	41	2	22.79	-	.09	4.66E-12	3.80E-11
electron transport chain (GO:0022900)	69	2	38.35	-	.05	1.72E-21	2.50E-20
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	8	0	4.45	-	 < 0.01	1.51E-03	3.61E-03
meiotic sister chromatid cohesion (GO:0051177)	8	0	4.45	-	 < 0.01	1.51E-03	3.61E-03
regulation of lipid metabolic process (GO:0019216)	5	0	2.78	-	 < 0.01	1.73E-02	3.25E-02
respiratory electron transport chain (GO:0022904)	40	0	22.23	-	 < 0.01	7.84E-15	7.98E-14
nucleoside triphosphate catabolic process (GO:0009143)	7	0	3.89	-	 < 0.01	3.41E-03	7.45E-03
RNA polymerase II preinitiation complex assembly (GO:0051123)	20	0	11.12	-	 < 0.01	8.89E-08	4.48E-07
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	5	0	2.78	-	 < 0.01	1.73E-02	3.24E-02
meiotic DNA double-strand break formation (GO:0042138)	6	0	3.34	-	 < 0.01	7.68E-03	1.55E-02
regulation of microtubule cytoskeleton organization (GO:0070507)	7	0	3.89	-	 < 0.01	3.41E-03	7.44E-03
chromosome localization (GO:0050000)	5	0	2.78	-	 < 0.01	1.73E-02	3.24E-02
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	16	0	8.89	-	 < 0.01	2.29E-06	8.91E-06
replication fork processing (GO:0031297)	8	0	4.45	-	 < 0.01	1.51E-03	3.60E-03
mitochondrial respiratory chain complex II assembly (GO:0034553)	6	0	3.34	-	 < 0.01	7.68E-03	1.55E-02
microautophagy (GO:0016237)	19	0	10.56	-	 < 0.01	2.00E-07	9.34E-07
endosome to lysosome transport (GO:0008333)	5	0	2.78	-	 < 0.01	1.73E-02	3.23E-02
intracellular lipid transport (GO:0032365)	8	0	4.45	-	 < 0.01	1.51E-03	3.60E-03
response to UV (GO:0009411)	9	0	5.00	-	 < 0.01	6.72E-04	1.77E-03
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	26	0	14.45	-	 < 0.01	6.81E-10	4.43E-09
ATP synthesis coupled electron transport (GO:0042773)	31	0	17.23	-	 < 0.01	1.17E-11	9.35E-11
positive regulation of protein phosphorylation (GO:0001934)	9	0	5.00	-	 < 0.01	6.72E-04	1.76E-03
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	8	0	4.45	-	 < 0.01	1.51E-03	3.59E-03
mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	11	0	6.11	-	 < 0.01	1.33E-04	3.97E-04
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	5	0	2.78	-	 < 0.01	1.73E-02	3.23E-02
oxidative phosphorylation (GO:0006119)	40	0	22.23	-	 < 0.01	7.84E-15	7.92E-14
tRNA wobble uridine modification (GO:0002098)	13	0	7.23	-	 < 0.01	2.61E-05	8.72E-05
attachment of spindle microtubules to kinetochore (GO:0008608)	5	0	2.78	-	 < 0.01	1.73E-02	3.23E-02
mitochondrial respiratory chain complex I assembly (GO:0032981)	9	0	5.00	-	 < 0.01	6.72E-04	1.76E-03
protein insertion into ER membrane (GO:0045048)	5	0	2.78	-	 < 0.01	1.73E-02	3.22E-02
sulfur compound catabolic process (GO:0044273)	8	0	4.45	-	 < 0.01	1.51E-03	3.58E-03
positive regulation of phosphorus metabolic process (GO:0010562)	9	0	5.00	-	 < 0.01	6.72E-04	1.76E-03
kinetochore organization (GO:0051383)	5	0	2.78	-	 < 0.01	1.73E-02	3.22E-02
RNA stabilization (GO:0043489)	5	0	2.78	-	 < 0.01	1.73E-02	3.21E-02
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	21	0	11.67	-	 < 0.01	3.95E-08	2.11E-07
snRNA processing (GO:0016180)	20	0	11.12	-	 < 0.01	8.89E-08	4.46E-07
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	26	0	14.45	-	 < 0.01	6.81E-10	4.41E-09
snRNA 3'-end processing (GO:0034472)	20	0	11.12	-	 < 0.01	8.89E-08	4.44E-07
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	11	0	6.11	-	 < 0.01	1.33E-04	3.96E-04
mitophagy (GO:0000423)	10	0	5.56	-	 < 0.01	2.99E-04	8.41E-04
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5	0	2.78	-	 < 0.01	1.73E-02	3.21E-02
metaphase chromosome alignment (GO:0051310)	5	0	2.78	-	 < 0.01	1.73E-02	3.20E-02
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	9	0	5.00	-	 < 0.01	6.72E-04	1.76E-03
establishment of chromosome localization (GO:0051303)	5	0	2.78	-	 < 0.01	1.73E-02	3.20E-02
positive regulation of phosphorylation (GO:0042327)	9	0	5.00	-	 < 0.01	6.72E-04	1.75E-03
positive regulation of phosphate metabolic process (GO:0045937)	9	0	5.00	-	 < 0.01	6.72E-04	1.75E-03
positive regulation of mitotic cell cycle (GO:0045931)	9	0	5.00	-	 < 0.01	6.72E-04	1.75E-03
reticulophagy (GO:0061709)	8	0	4.45	-	 < 0.01	1.51E-03	3.58E-03
mitotic DNA replication checkpoint signaling (GO:0033314)	12	0	6.67	-	 < 0.01	5.89E-05	1.87E-04
DNA synthesis involved in DNA repair (GO:0000731)	14	0	7.78	-	 < 0.01	1.16E-05	4.12E-05
mRNA splice site recognition (GO:0006376)	14	0	7.78	-	 < 0.01	1.16E-05	4.11E-05
DNA double-strand break processing (GO:0000729)	5	0	2.78	-	 < 0.01	1.73E-02	3.20E-02
mitotic G2/M transition checkpoint (GO:0044818)	16	0	8.89	-	 < 0.01	2.29E-06	8.89E-06
transcription elongation by RNA polymerase II (GO:0006368)	24	0	13.34	-	 < 0.01	3.45E-09	2.08E-08
photoreactive repair (GO:0000719)	5	0	2.78	-	 < 0.01	1.73E-02	3.19E-02
resolution of meiotic recombination intermediates (GO:0000712)	10	0	5.56	-	 < 0.01	2.99E-04	8.39E-04
regulation of telomere maintenance (GO:0032204)	6	0	3.34	-	 < 0.01	7.68E-03	1.54E-02
regulation of microtubule polymerization or depolymerization (GO:0031110)	7	0	3.89	-	 < 0.01	3.41E-03	7.42E-03
piecemeal microautophagy of the nucleus (GO:0034727)	19	0	10.56	-	 < 0.01	2.00E-07	9.31E-07
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	7	0	3.89	-	 < 0.01	3.41E-03	7.41E-03
DNA modification (GO:0006304)	13	0	7.23	-	 < 0.01	2.61E-05	8.70E-05
negative regulation of cell cycle G2/M phase transition (GO:1902750)	16	0	8.89	-	 < 0.01	2.29E-06	8.86E-06
positive regulation of protein modification process (GO:0031401)	9	0	5.00	-	 < 0.01	6.72E-04	1.74E-03
nuclear envelope organization (GO:0006998)	10	0	5.56	-	 < 0.01	2.99E-04	8.37E-04
mRNA cis splicing, via spliceosome (GO:0045292)	19	0	10.56	-	 < 0.01	2.00E-07	9.28E-07
nucleus organization (GO:0006997)	16	0	8.89	-	 < 0.01	2.29E-06	8.84E-06
DNA demethylation (GO:0080111)	5	0	2.78	-	 < 0.01	1.73E-02	3.19E-02
cellular response to light stimulus (GO:0071482)	6	0	3.34	-	 < 0.01	7.68E-03	1.54E-02
protein export from nucleus (GO:0006611)	10	0	5.56	-	 < 0.01	2.99E-04	8.36E-04
negative regulation of programmed cell death (GO:0043069)	6	0	3.34	-	 < 0.01	7.68E-03	1.54E-02
negative regulation of apoptotic process (GO:0043066)	6	0	3.34	-	 < 0.01	7.68E-03	1.54E-02
fatty acid transport (GO:0015908)	10	0	5.56	-	 < 0.01	2.99E-04	8.34E-04
endoplasmic reticulum tubular network organization (GO:0071786)	6	0	3.34	-	 < 0.01	7.68E-03	1.54E-02
protein N-linked glycosylation via asparagine (GO:0018279)	11	0	6.11	-	 < 0.01	1.33E-04	3.95E-04
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	8	0	4.45	-	 < 0.01	1.51E-03	3.57E-03
alternative mRNA splicing, via spliceosome (GO:0000380)	5	0	2.78	-	 < 0.01	1.73E-02	3.18E-02
nuclear membrane organization (GO:0071763)	10	0	5.56	-	 < 0.01	2.99E-04	8.32E-04
mitotic G2 DNA damage checkpoint signaling (GO:0007095)	5	0	2.78	-	 < 0.01	1.73E-02	3.18E-02
mitotic metaphase chromosome alignment (GO:0007080)	5	0	2.78	-	 < 0.01	1.73E-02	3.17E-02
mitotic chromosome condensation (GO:0007076)	9	0	5.00	-	 < 0.01	6.72E-04	1.74E-03
mitotic DNA integrity checkpoint signaling (GO:0044774)	19	0	10.56	-	 < 0.01	2.00E-07	9.25E-07
mitotic DNA damage checkpoint signaling (GO:0044773)	13	0	7.23	-	 < 0.01	2.61E-05	8.68E-05
membrane assembly (GO:0071709)	6	0	3.34	-	 < 0.01	7.68E-03	1.53E-02
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	12	0	6.67	-	 < 0.01	5.89E-05	1.86E-04
protein K11-linked ubiquitination (GO:0070979)	13	0	7.23	-	 < 0.01	2.61E-05	8.66E-05
aerobic electron transport chain (GO:0019646)	28	0	15.56	-	 < 0.01	1.34E-10	9.59E-10
protein insertion into membrane (GO:0051205)	13	0	7.23	-	 < 0.01	2.61E-05	8.64E-05
positive regulation of mitotic nuclear division (GO:0045840)	9	0	5.00	-	 < 0.01	6.72E-04	1.74E-03
endosome organization (GO:0007032)	9	0	5.00	-	 < 0.01	6.72E-04	1.73E-03
translesion synthesis (GO:0019985)	8	0	4.45	-	 < 0.01	1.51E-03	3.56E-03
plasma membrane organization (GO:0007009)	6	0	3.34	-	 < 0.01	7.68E-03	1.53E-02
polyadenylation-dependent ncRNA catabolic process (GO:0043634)	13	0	7.23	-	 < 0.01	2.61E-05	8.61E-05
negative regulation of RNA catabolic process (GO:1902369)	7	0	3.89	-	 < 0.01	3.41E-03	7.40E-03
microtubule organizing center organization (GO:0031023)	6	0	3.34	-	 < 0.01	7.68E-03	1.53E-02
endocytic recycling (GO:0032456)	7	0	3.89	-	 < 0.01	3.41E-03	7.39E-03
homologous chromosome segregation (GO:0045143)	6	0	3.34	-	 < 0.01	7.68E-03	1.53E-02
meiotic chromosome segregation (GO:0045132)	9	0	5.00	-	 < 0.01	6.72E-04	1.73E-03
