




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	small_families_high_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	small_families_high_stringency.txt (22994)	small_families_high_stringency.txt (expected)	small_families_high_stringency.txt (over/under)	small_families_high_stringency.txt (fold Enrichment)	small_families_high_stringency.txt (raw P-value)	small_families_high_stringency.txt (FDR)
exocytosis (GO:0006887)	111	61	45.70	+	1.33	3.66E-03	8.36E-03
organelle fusion (GO:0048284)	104	57	42.82	+	1.33	5.17E-03	1.10E-02
regulation of molecular function (GO:0065009)	210	115	86.45	+	1.33	7.72E-05	2.44E-04
organic cyclic compound catabolic process (GO:1901361)	329	180	135.45	+	1.33	8.79E-07	3.88E-06
phosphatidylinositol biosynthetic process (GO:0006661)	88	48	36.23	+	1.32	1.24E-02	2.41E-02
cellular catabolic process (GO:0044248)	686	374	282.42	+	1.32	1.59E-12	1.52E-11
post-translational protein modification (GO:0043687)	638	347	262.66	+	1.32	1.46E-11	1.25E-10
amino acid catabolic process (GO:0009063)	83	45	34.17	+	1.32	1.87E-02	3.47E-02
cellular nitrogen compound catabolic process (GO:0044270)	305	165	125.56	+	1.31	6.30E-06	2.43E-05
heterocycle catabolic process (GO:0046700)	305	165	125.56	+	1.31	6.30E-06	2.42E-05
cellular component organization (GO:0016043)	2045	1104	841.90	+	1.31	1.58E-32	5.52E-31
response to endoplasmic reticulum stress (GO:0034976)	126	68	51.87	+	1.31	4.76E-03	1.04E-02
anatomical structure morphogenesis (GO:0009653)	76	41	31.29	+	1.31	2.65E-02	4.74E-02
membrane fusion (GO:0061025)	102	55	41.99	+	1.31	1.15E-02	2.26E-02
organonitrogen compound catabolic process (GO:1901565)	1045	563	430.21	+	1.31	8.39E-17	1.16E-15
proteinogenic amino acid metabolic process (GO:0170039)	197	106	81.10	+	1.31	3.63E-04	1.00E-03
carbohydrate derivative metabolic process (GO:1901135)	584	314	240.43	+	1.31	7.43E-10	5.20E-09
aromatic compound catabolic process (GO:0019439)	322	173	132.56	+	1.31	6.52E-06	2.50E-05
cellular macromolecule localization (GO:0070727)	781	419	321.53	+	1.30	1.62E-12	1.54E-11
protein localization (GO:0008104)	781	419	321.53	+	1.30	1.62E-12	1.53E-11
chromatin organization (GO:0006325)	183	98	75.34	+	1.30	8.82E-04	2.25E-03
nitrogen compound metabolic process (GO:0006807)	6706	3591	2760.78	+	1.30	3.59E-105	3.85E-103
generation of precursor metabolites and energy (GO:0006091)	310	166	127.62	+	1.30	1.29E-05	4.72E-05
catabolic process (GO:0009056)	1616	863	665.29	+	1.30	1.16E-23	2.79E-22
regulation of response to stimulus (GO:0048583)	118	63	48.58	+	1.30	8.50E-03	1.71E-02
protein modification by small protein conjugation or removal (GO:0070647)	624	333	256.89	+	1.30	7.16E-10	5.04E-09
macromolecule metabolic process (GO:0043170)	5907	3148	2431.84	+	1.29	1.24E-87	9.58E-86
nucleobase-containing small molecule metabolic process (GO:0055086)	464	247	191.02	+	1.29	1.66E-07	8.18E-07
membrane organization (GO:0061024)	310	165	127.62	+	1.29	2.20E-05	7.75E-05
nucleobase-containing compound catabolic process (GO:0034655)	280	149	115.27	+	1.29	5.45E-05	1.77E-04
cellular response to stress (GO:0033554)	767	408	315.76	+	1.29	1.46E-11	1.25E-10
organic acid metabolic process (GO:0006082)	752	400	309.59	+	1.29	2.55E-11	2.13E-10
oxoacid metabolic process (GO:0043436)	752	400	309.59	+	1.29	2.55E-11	2.12E-10
carboxylic acid metabolic process (GO:0019752)	752	400	309.59	+	1.29	2.55E-11	2.11E-10
regulation of cell cycle (GO:0051726)	207	110	85.22	+	1.29	5.12E-04	1.37E-03
protein deubiquitination (GO:0016579)	113	60	46.52	+	1.29	1.25E-02	2.42E-02
protein transport (GO:0015031)	475	252	195.55	+	1.29	1.79E-07	8.81E-07
organelle organization (GO:0006996)	1415	749	582.54	+	1.29	1.98E-19	3.50E-18
isoprenoid metabolic process (GO:0006720)	127	67	52.28	+	1.28	8.76E-03	1.76E-02
ribonucleotide biosynthetic process (GO:0009260)	133	70	54.75	+	1.28	8.03E-03	1.62E-02
primary metabolic process (GO:0044238)	7504	3938	3089.31	+	1.27	5.82E-100	5.80E-98
protein modification by small protein conjugation (GO:0032446)	496	260	204.20	+	1.27	4.21E-07	1.96E-06
organic substance catabolic process (GO:1901575)	1474	771	606.83	+	1.27	2.69E-18	4.26E-17
small molecule metabolic process (GO:0044281)	1328	694	546.72	+	1.27	2.09E-16	2.75E-15
nucleoside phosphate metabolic process (GO:0006753)	391	204	160.97	+	1.27	1.11E-05	4.08E-05
cellular lipid metabolic process (GO:0044255)	660	344	271.71	+	1.27	1.41E-08	8.12E-08
regulation of protein metabolic process (GO:0051246)	215	112	88.51	+	1.27	1.36E-03	3.36E-03
protein maturation (GO:0051604)	462	240	190.20	+	1.26	3.04E-06	1.24E-05
positive regulation of biological process (GO:0048518)	480	249	197.61	+	1.26	2.35E-06	9.73E-06
organic substance metabolic process (GO:0071704)	8044	4159	3311.62	+	1.26	3.35E-94	2.92E-92
positive regulation of cellular process (GO:0048522)	451	233	185.67	+	1.25	7.37E-06	2.80E-05
response to oxidative stress (GO:0006979)	122	63	50.23	+	1.25	2.11E-02	3.84E-02
DNA recombination (GO:0006310)	188	97	77.40	+	1.25	4.66E-03	1.04E-02
monocarboxylic acid metabolic process (GO:0032787)	332	171	136.68	+	1.25	1.70E-04	5.06E-04
cellular metabolic process (GO:0044237)	6671	3433	2746.37	+	1.25	6.48E-73	3.93E-71
chromatin remodeling (GO:0006338)	175	90	72.05	+	1.25	6.94E-03	1.44E-02
metabolic process (GO:0008152)	8527	4384	3510.46	+	1.25	1.81E-95	1.68E-93
positive regulation of macromolecule metabolic process (GO:0010604)	433	222	178.26	+	1.25	2.35E-05	8.24E-05
lipid metabolic process (GO:0006629)	783	401	322.35	+	1.24	1.30E-08	7.52E-08
positive regulation of metabolic process (GO:0009893)	435	222	179.08	+	1.24	3.78E-05	1.28E-04
organic hydroxy compound metabolic process (GO:1901615)	251	128	103.33	+	1.24	1.97E-03	4.69E-03
positive regulation of cellular metabolic process (GO:0031325)	402	205	165.50	+	1.24	7.00E-05	2.24E-04
nitrogen compound transport (GO:0071705)	806	411	331.82	+	1.24	1.69E-08	9.46E-08
nucleotide metabolic process (GO:0009117)	365	185	150.27	+	1.23	2.74E-04	7.85E-04
microtubule cytoskeleton organization (GO:0000226)	229	116	94.28	+	1.23	3.78E-03	8.54E-03
organophosphate metabolic process (GO:0019637)	670	337	275.83	+	1.22	1.68E-06	7.05E-06
double-strand break repair (GO:0006302)	185	93	76.16	+	1.22	1.34E-02	2.55E-02
positive regulation of nitrogen compound metabolic process (GO:0051173)	422	212	173.73	+	1.22	1.89E-04	5.56E-04
glycerophospholipid metabolic process (GO:0006650)	178	89	73.28	+	1.21	1.80E-02	3.36E-02
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	358	179	147.38	+	1.21	8.15E-04	2.12E-03
purine-containing compound metabolic process (GO:0072521)	349	174	143.68	+	1.21	1.05E-03	2.62E-03
purine nucleotide metabolic process (GO:0006163)	321	160	132.15	+	1.21	1.73E-03	4.20E-03
L-amino acid metabolic process (GO:0170033)	221	110	90.98	+	1.21	1.11E-02	2.19E-02
glycerolipid metabolic process (GO:0046486)	203	101	83.57	+	1.21	1.50E-02	2.83E-02
metal ion transport (GO:0030001)	210	104	86.45	+	1.20	1.67E-02	3.14E-02
organic substance transport (GO:0071702)	923	454	379.99	+	1.19	8.08E-07	3.57E-06
cellular process (GO:0009987)	10779	5285	4437.58	+	1.19	2.99E-75	1.89E-73
positive regulation of RNA metabolic process (GO:0051254)	349	171	143.68	+	1.19	3.18E-03	7.32E-03
cell cycle (GO:0007049)	546	267	224.78	+	1.19	2.80E-04	7.97E-04
protein folding (GO:0006457)	365	178	150.27	+	1.18	3.32E-03	7.58E-03
establishment of localization (GO:0051234)	2545	1239	1047.75	+	1.18	5.01E-15	5.87E-14
protein ubiquitination (GO:0016567)	453	220	186.49	+	1.18	1.53E-03	3.76E-03
homeostatic process (GO:0042592)	374	181	153.97	+	1.18	5.14E-03	1.09E-02
inorganic ion transmembrane transport (GO:0098660)	255	123	104.98	+	1.17	2.54E-02	4.56E-02
intracellular protein transport (GO:0006886)	378	182	155.62	+	1.17	6.34E-03	1.33E-02
biological_process (GO:0008150)	15251	7263	6278.65	+	1.16	7.25E-80	4.81E-78
localization (GO:0051179)	2791	1325	1149.02	+	1.15	5.40E-12	4.74E-11
organonitrogen compound metabolic process (GO:1901564)	4706	2221	1937.40	+	1.15	2.71E-18	4.24E-17
transport (GO:0006810)	2394	1127	985.58	+	1.14	2.38E-09	1.59E-08
protein metabolic process (GO:0019538)	3650	1674	1502.66	+	1.11	2.94E-09	1.92E-08
Unclassified (UNCLASSIFIED)	40602	15731	16715.35	-	.94	7.25E-80	5.05E-78
regulation of cellular process (GO:0050794)	3194	1231	1314.93	-	.94	1.87E-03	4.46E-03
cellular response to stimulus (GO:0051716)	1524	585	627.41	-	.93	2.66E-02	4.75E-02
regulation of DNA-templated transcription (GO:0006355)	1498	562	616.71	-	.91	3.71E-03	8.43E-03
regulation of RNA biosynthetic process (GO:2001141)	1498	562	616.71	-	.91	3.71E-03	8.42E-03
protein modification process (GO:0036211)	2172	790	894.19	-	.88	3.31E-06	1.33E-05
regulation of transcription by RNA polymerase II (GO:0006357)	820	289	337.58	-	.86	5.19E-04	1.38E-03
response to abiotic stimulus (GO:0009628)	355	125	146.15	-	.86	2.30E-02	4.17E-02
response to stimulus (GO:0050896)	2354	827	969.11	-	.85	9.04E-10	6.24E-09
response to chemical (GO:0042221)	550	191	226.43	-	.84	1.98E-03	4.69E-03
carbohydrate metabolic process (GO:0005975)	506	174	208.31	-	.84	1.74E-03	4.20E-03
response to organic substance (GO:0010033)	377	125	155.21	-	.81	1.60E-03	3.91E-03
cellular developmental process (GO:0048869)	188	61	77.40	-	.79	1.73E-02	3.25E-02
import into cell (GO:0098657)	155	50	63.81	-	.78	2.71E-02	4.82E-02
intracellular monoatomic cation homeostasis (GO:0030003)	177	57	72.87	-	.78	1.75E-02	3.28E-02
intracellular monoatomic ion homeostasis (GO:0006873)	177	57	72.87	-	.78	1.75E-02	3.27E-02
monosaccharide metabolic process (GO:0005996)	141	45	58.05	-	.78	2.59E-02	4.64E-02
developmental process (GO:0032502)	421	134	173.32	-	.77	8.28E-05	2.62E-04
response to heat (GO:0009408)	167	53	68.75	-	.77	1.44E-02	2.74E-02
cell differentiation (GO:0030154)	186	59	76.57	-	.77	8.90E-03	1.78E-02
organophosphate catabolic process (GO:0046434)	154	48	63.40	-	.76	1.11E-02	2.18E-02
phosphorus metabolic process (GO:0006793)	1934	600	796.20	-	.75	7.53E-21	1.40E-19
phosphate-containing compound metabolic process (GO:0006796)	1910	592	786.32	-	.75	1.07E-20	1.96E-19
intracellular signal transduction (GO:0035556)	356	108	146.56	-	.74	2.97E-05	1.02E-04
actin filament-based process (GO:0030029)	119	36	48.99	-	.73	1.53E-02	2.89E-02
actin cytoskeleton organization (GO:0030036)	113	34	46.52	-	.73	1.67E-02	3.14E-02
cellular modified amino acid metabolic process (GO:0006575)	163	49	67.11	-	.73	4.00E-03	8.98E-03
protein-containing complex disassembly (GO:0032984)	110	33	45.29	-	.73	1.96E-02	3.61E-02
nucleotide catabolic process (GO:0009166)	101	30	41.58	-	.72	1.98E-02	3.64E-02
cell wall organization or biogenesis (GO:0071554)	226	67	93.04	-	.72	4.07E-04	1.10E-03
carbohydrate catabolic process (GO:0016052)	205	58	84.40	-	.69	1.53E-04	4.56E-04
purine nucleotide catabolic process (GO:0006195)	99	28	40.76	-	.69	1.03E-02	2.04E-02
carboxylic acid transport (GO:0046942)	202	57	83.16	-	.69	1.40E-04	4.21E-04
organic acid transport (GO:0015849)	202	57	83.16	-	.69	1.40E-04	4.21E-04
cell wall biogenesis (GO:0042546)	149	42	61.34	-	.68	1.11E-03	2.78E-03
hormone metabolic process (GO:0042445)	81	22	33.35	-	.66	1.24E-02	2.41E-02
nucleoside diphosphate catabolic process (GO:0009134)	107	29	44.05	-	.66	3.04E-03	7.00E-03
nucleoside diphosphate metabolic process (GO:0009132)	116	31	47.76	-	.65	1.71E-03	4.15E-03
cell communication (GO:0007154)	806	213	331.82	-	.64	2.02E-18	3.23E-17
glucose metabolic process (GO:0006006)	84	22	34.58	-	.64	5.31E-03	1.12E-02
response to endogenous stimulus (GO:0009719)	199	52	81.93	-	.63	1.29E-05	4.70E-05
signaling (GO:0023052)	770	201	317.00	-	.63	1.78E-18	2.92E-17
signal transduction (GO:0007165)	768	199	316.18	-	.63	7.95E-19	1.35E-17
phosphatidylinositol dephosphorylation (GO:0046856)	55	14	22.64	-	.62	1.93E-02	3.56E-02
response to hormone (GO:0009725)	197	50	81.10	-	.62	4.17E-06	1.63E-05
DNA conformation change (GO:0071103)	92	23	37.88	-	.61	1.39E-03	3.44E-03
ribosomal large subunit assembly (GO:0000027)	52	13	21.41	-	.61	2.31E-02	4.19E-02
external encapsulating structure organization (GO:0045229)	73	18	30.05	-	.60	4.05E-03	9.09E-03
glucan metabolic process (GO:0044042)	114	28	46.93	-	.60	2.63E-04	7.54E-04
cellular response to endogenous stimulus (GO:0071495)	139	34	57.22	-	.59	4.37E-05	1.46E-04
peptidyl-serine phosphorylation (GO:0018105)	173	42	71.22	-	.59	4.07E-06	1.60E-05
peptidyl-serine modification (GO:0018209)	173	42	71.22	-	.59	4.07E-06	1.59E-05
response to abscisic acid (GO:0009737)	62	15	25.52	-	.59	6.43E-03	1.35E-02
glutathione metabolic process (GO:0006749)	87	21	35.82	-	.59	1.01E-03	2.56E-03
actin filament organization (GO:0007015)	104	25	42.82	-	.58	3.00E-04	8.51E-04
glucan biosynthetic process (GO:0009250)	80	19	32.94	-	.58	1.35E-03	3.35E-03
purine ribonucleotide catabolic process (GO:0009154)	93	22	38.29	-	.57	4.63E-04	1.24E-03
ribonucleotide catabolic process (GO:0009261)	93	22	38.29	-	.57	4.63E-04	1.24E-03
response to oxygen-containing compound (GO:1901700)	302	71	124.33	-	.57	1.51E-10	1.19E-09
hormone-mediated signaling pathway (GO:0009755)	137	32	56.40	-	.57	1.67E-05	6.04E-05
cellular response to hormone stimulus (GO:0032870)	137	32	56.40	-	.57	1.67E-05	6.03E-05
dephosphorylation (GO:0016311)	249	58	102.51	-	.57	4.21E-09	2.56E-08
response to external stimulus (GO:0009605)	347	79	142.86	-	.55	5.96E-13	5.98E-12
response to lipid (GO:0033993)	123	28	50.64	-	.55	2.06E-05	7.30E-05
positive regulation of DNA-templated transcription, elongation (GO:0032786)	53	12	21.82	-	.55	7.36E-03	1.51E-02
regulation of DNA-templated transcription elongation (GO:0032784)	53	12	21.82	-	.55	7.36E-03	1.50E-02
response to osmotic stress (GO:0006970)	84	19	34.58	-	.55	5.06E-04	1.35E-03
regulation of intracellular pH (GO:0051453)	45	10	18.53	-	.54	9.63E-03	1.93E-02
regulation of cellular pH (GO:0030641)	45	10	18.53	-	.54	9.63E-03	1.93E-02
secondary metabolic process (GO:0019748)	59	13	24.29	-	.54	3.23E-03	7.40E-03
phospholipid dephosphorylation (GO:0046839)	64	14	26.35	-	.53	1.39E-03	3.43E-03
regulation of hormone levels (GO:0010817)	101	22	41.58	-	.53	6.39E-05	2.06E-04
cell wall organization (GO:0071555)	46	10	18.94	-	.53	6.78E-03	1.41E-02
cellular response to lipid (GO:0071396)	92	20	37.88	-	.53	1.13E-04	3.47E-04
heterochromatin organization (GO:0070828)	37	8	15.23	-	.53	1.83E-02	3.41E-02
heterochromatin formation (GO:0031507)	37	8	15.23	-	.53	1.83E-02	3.40E-02
organic acid transmembrane transport (GO:1903825)	163	35	67.11	-	.52	1.50E-07	7.43E-07
carboxylic acid transmembrane transport (GO:1905039)	163	35	67.11	-	.52	1.50E-07	7.40E-07
intracellular iron ion homeostasis (GO:0006879)	47	10	19.35	-	.52	6.92E-03	1.44E-02
DNA geometric change (GO:0032392)	86	18	35.41	-	.51	1.01E-04	3.13E-04
DNA duplex unwinding (GO:0032508)	86	18	35.41	-	.51	1.01E-04	3.12E-04
response to salt stress (GO:0009651)	82	17	33.76	-	.50	1.13E-04	3.48E-04
amino acid transport (GO:0006865)	170	35	69.99	-	.50	1.83E-08	1.01E-07
protein dephosphorylation (GO:0006470)	176	36	72.46	-	.50	8.08E-09	4.73E-08
oligosaccharide biosynthetic process (GO:0009312)	49	10	20.17	-	.50	3.27E-03	7.47E-03
cell division (GO:0051301)	74	15	30.46	-	.49	2.03E-04	5.91E-04
glycolytic process (GO:0006096)	89	18	36.64	-	.49	3.42E-05	1.16E-04
phosphorylation (GO:0016310)	1054	211	433.92	-	.49	4.82E-49	2.32E-47
phospholipid translocation (GO:0045332)	30	6	12.35	-	.49	2.43E-02	4.37E-02
regulation of cellular component biogenesis (GO:0044087)	40	8	16.47	-	.49	5.97E-03	1.26E-02
cellular response to oxygen-containing compound (GO:1901701)	129	25	53.11	-	.47	2.06E-07	1.01E-06
detoxification (GO:0098754)	37	7	15.23	-	.46	6.69E-03	1.40E-02
response to toxic substance (GO:0009636)	37	7	15.23	-	.46	6.69E-03	1.39E-02
protein phosphorylation (GO:0006468)	986	186	405.92	-	.46	3.61E-51	1.93E-49
protein peptidyl-prolyl isomerization (GO:0000413)	56	10	23.05	-	.43	3.22E-04	9.09E-04
DNA biosynthetic process (GO:0071897)	80	14	32.94	-	.43	1.04E-05	3.84E-05
biological process involved in interspecies interaction between organisms (GO:0044419)	280	47	115.27	-	.41	1.72E-18	2.85E-17
amino acid transmembrane transport (GO:0003333)	143	24	58.87	-	.41	6.36E-10	4.50E-09
regulation of cell shape (GO:0008360)	24	4	9.88	-	.40	2.04E-02	3.74E-02
telomere maintenance (GO:0000723)	79	13	32.52	-	.40	3.11E-06	1.27E-05
telomere organization (GO:0032200)	79	13	32.52	-	.40	3.11E-06	1.26E-05
protein hydroxylation (GO:0018126)	25	4	10.29	-	.39	1.31E-02	2.50E-02
defense response (GO:0006952)	344	54	141.62	-	.38	1.85E-24	4.86E-23
phospholipid catabolic process (GO:0009395)	33	5	13.59	-	.37	2.15E-03	5.01E-03
calcium-mediated signaling (GO:0019722)	20	3	8.23	-	.36	2.10E-02	3.83E-02
secondary metabolite biosynthetic process (GO:0044550)	48	7	19.76	-	.35	9.87E-05	3.06E-04
response to external biotic stimulus (GO:0043207)	271	38	111.57	-	.34	3.14E-22	6.94E-21
response to other organism (GO:0051707)	271	38	111.57	-	.34	3.14E-22	6.83E-21
response to biotic stimulus (GO:0009607)	271	38	111.57	-	.34	3.14E-22	6.73E-21
defense response to other organism (GO:0098542)	271	38	111.57	-	.34	3.14E-22	6.63E-21
maintenance of location in cell (GO:0051651)	66	9	27.17	-	.33	1.92E-06	7.98E-06
intracellular signaling cassette (GO:0141124)	69	9	28.41	-	.32	4.95E-07	2.29E-06
beta-glucan biosynthetic process (GO:0051274)	63	8	25.94	-	.31	1.14E-06	4.99E-06
small GTPase-mediated signal transduction (GO:0007264)	16	2	6.59	-	.30	2.11E-02	3.84E-02
cell surface receptor signaling pathway (GO:0007166)	41	5	16.88	-	.30	8.79E-05	2.75E-04
negative regulation of supramolecular fiber organization (GO:1902904)	17	2	7.00	-	.29	1.30E-02	2.52E-02
negative regulation of actin filament polymerization (GO:0030837)	17	2	7.00	-	.29	1.30E-02	2.52E-02
regulation of actin filament polymerization (GO:0030833)	17	2	7.00	-	.29	1.30E-02	2.51E-02
negative regulation of cytoskeleton organization (GO:0051494)	17	2	7.00	-	.29	1.30E-02	2.51E-02
negative regulation of protein polymerization (GO:0032272)	17	2	7.00	-	.29	1.30E-02	2.51E-02
regulation of protein polymerization (GO:0032271)	17	2	7.00	-	.29	1.30E-02	2.50E-02
negative regulation of protein-containing complex assembly (GO:0031333)	17	2	7.00	-	.29	1.30E-02	2.50E-02
peptidyl-threonine phosphorylation (GO:0018107)	43	5	17.70	-	.28	3.41E-05	1.16E-04
regulation of protein-containing complex assembly (GO:0043254)	36	4	14.82	-	.27	1.25E-04	3.82E-04
mitotic cytokinesis (GO:0000281)	57	6	23.47	-	.26	5.24E-07	2.40E-06
cytoskeleton-dependent cytokinesis (GO:0061640)	57	6	23.47	-	.26	5.24E-07	2.39E-06
cytokinesis (GO:0000910)	57	6	23.47	-	.26	5.24E-07	2.39E-06
developmental growth (GO:0048589)	22	2	9.06	-	.22	1.74E-03	4.20E-03
cell growth (GO:0016049)	22	2	9.06	-	.22	1.74E-03	4.20E-03
developmental growth involved in morphogenesis (GO:0060560)	22	2	9.06	-	.22	1.74E-03	4.19E-03
growth (GO:0040007)	22	2	9.06	-	.22	1.74E-03	4.18E-03
unidimensional cell growth (GO:0009826)	22	2	9.06	-	.22	1.74E-03	4.18E-03
regulation of transcription elongation by RNA polymerase II (GO:0034243)	45	4	18.53	-	.22	2.38E-06	9.83E-06
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	45	4	18.53	-	.22	2.38E-06	9.80E-06
autophagosome maturation (GO:0097352)	23	2	9.47	-	.21	1.04E-03	2.61E-03
steroid hormone mediated signaling pathway (GO:0043401)	25	2	10.29	-	.19	3.74E-04	1.03E-03
response to steroid hormone (GO:0048545)	25	2	10.29	-	.19	3.74E-04	1.02E-03
cellular response to steroid hormone stimulus (GO:0071383)	25	2	10.29	-	.19	3.74E-04	1.02E-03
fluid transport (GO:0042044)	26	2	10.70	-	.19	2.26E-04	6.57E-04
water transport (GO:0006833)	26	2	10.70	-	.19	2.26E-04	6.56E-04
establishment or maintenance of cell polarity (GO:0007163)	30	2	12.35	-	.16	4.51E-05	1.49E-04
cellular response to organic cyclic compound (GO:0071407)	30	2	12.35	-	.16	4.51E-05	1.49E-04
MAPK cascade (GO:0000165)	31	2	12.76	-	.16	2.63E-05	9.12E-05
telomere maintenance via telomerase (GO:0007004)	66	4	27.17	-	.15	2.06E-10	1.59E-09
telomere maintenance via telomere lengthening (GO:0010833)	67	4	27.58	-	.15	1.18E-10	9.36E-10
hormone biosynthetic process (GO:0042446)	36	2	14.82	-	.13	3.29E-06	1.32E-05
response to organic cyclic compound (GO:0014070)	37	2	15.23	-	.13	1.85E-06	7.74E-06
regulation of establishment of protein localization (GO:0070201)	10	0	4.12	-	 < 0.01	7.10E-03	1.47E-02
actin filament bundle organization (GO:0061572)	38	0	15.64	-	 < 0.01	2.49E-09	1.65E-08
protein K63-linked ubiquitination (GO:0070534)	14	0	5.76	-	 < 0.01	6.79E-04	1.78E-03
Rho protein signal transduction (GO:0007266)	13	0	5.35	-	 < 0.01	1.20E-03	2.99E-03
energy reserve metabolic process (GO:0006112)	9	0	3.71	-	 < 0.01	1.31E-02	2.51E-02
glycogen metabolic process (GO:0005977)	9	0	3.71	-	 < 0.01	1.31E-02	2.51E-02
positive regulation of transport (GO:0051050)	10	0	4.12	-	 < 0.01	7.10E-03	1.47E-02
actin filament bundle assembly (GO:0051017)	38	0	15.64	-	 < 0.01	2.49E-09	1.64E-08
mitochondrial transcription (GO:0006390)	8	0	3.29	-	 < 0.01	2.46E-02	4.42E-02
positive regulation of establishment of protein localization (GO:1904951)	10	0	4.12	-	 < 0.01	7.10E-03	1.47E-02
hormone transport (GO:0009914)	20	0	8.23	-	 < 0.01	3.28E-05	1.12E-04
positive regulation of protein localization (GO:1903829)	10	0	4.12	-	 < 0.01	7.10E-03	1.46E-02
rhythmic process (GO:0048511)	9	0	3.71	-	 < 0.01	1.31E-02	2.51E-02
calcium ion transmembrane import into cytosol (GO:0097553)	15	0	6.18	-	 < 0.01	3.87E-04	1.05E-03
negative regulation of sequestering of calcium ion (GO:0051283)	15	0	6.18	-	 < 0.01	3.87E-04	1.05E-03
regulation of sequestering of calcium ion (GO:0051282)	15	0	6.18	-	 < 0.01	3.87E-04	1.05E-03
regulation of protein transport (GO:0051223)	10	0	4.12	-	 < 0.01	7.10E-03	1.46E-02
positive regulation of protein transport (GO:0051222)	10	0	4.12	-	 < 0.01	7.10E-03	1.46E-02
release of sequestered calcium ion into cytosol (GO:0051209)	15	0	6.18	-	 < 0.01	3.87E-04	1.05E-03
cell fate specification (GO:0001708)	10	0	4.12	-	 < 0.01	7.10E-03	1.46E-02
secondary alcohol metabolic process (GO:1902652)	10	0	4.12	-	 < 0.01	7.10E-03	1.46E-02
circadian rhythm (GO:0007623)	9	0	3.71	-	 < 0.01	1.31E-02	2.50E-02
