




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	large_families_high_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	large_families_high_stringency.txt (21135)	large_families_high_stringency.txt (expected)	large_families_high_stringency.txt (over/under)	large_families_high_stringency.txt (fold Enrichment)	large_families_high_stringency.txt (raw P-value)	large_families_high_stringency.txt (FDR)
electron transport chain (GO:0022900)	69	2	26.11	-	.08	6.43E-12	6.59E-11
tRNA methylation (GO:0030488)	35	1	13.24	-	.08	1.74E-06	8.42E-06
transcription by RNA polymerase II (GO:0006366)	121	3	45.79	-	.07	8.37E-21	1.56E-19
DNA-templated DNA replication (GO:0006261)	126	3	47.68	-	.06	9.58E-22	1.88E-20
ceramide biosynthetic process (GO:0046513)	21	0	7.95	-	 < 0.01	5.49E-05	2.14E-04
positive regulation of cell cycle (GO:0045787)	13	0	4.92	-	 < 0.01	2.82E-03	7.17E-03
respiratory electron transport chain (GO:0022904)	40	0	15.14	-	 < 0.01	6.54E-09	4.75E-08
chaperone-mediated protein complex assembly (GO:0051131)	9	0	3.41	-	 < 0.01	1.64E-02	3.42E-02
RNA polymerase II preinitiation complex assembly (GO:0051123)	20	0	7.57	-	 < 0.01	9.42E-05	3.34E-04
meiotic cell cycle process (GO:1903046)	57	0	21.57	-	 < 0.01	2.42E-12	2.62E-11
positive regulation of organelle organization (GO:0010638)	19	0	7.19	-	 < 0.01	1.65E-04	5.38E-04
cytochrome complex assembly (GO:0017004)	17	0	6.43	-	 < 0.01	5.36E-04	1.60E-03
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	16	0	6.05	-	 < 0.01	9.96E-04	2.82E-03
regulation of mitotic sister chromatid separation (GO:0010965)	31	0	11.73	-	 < 0.01	5.82E-07	3.03E-06
negative regulation of nuclear division (GO:0051784)	24	0	9.08	-	 < 0.01	1.75E-05	7.32E-05
regulation of nuclear division (GO:0051783)	37	0	14.00	-	 < 0.01	3.51E-08	2.25E-07
embryo development (GO:0009790)	14	0	5.30	-	 < 0.01	1.62E-03	4.31E-03
mitochondrial respiratory chain complex assembly (GO:0033108)	32	0	12.11	-	 < 0.01	3.29E-07	1.83E-06
microautophagy (GO:0016237)	19	0	7.19	-	 < 0.01	1.65E-04	5.37E-04
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	10	0	3.78	-	 < 0.01	1.70E-02	3.42E-02
positive regulation of cell cycle process (GO:0090068)	13	0	4.92	-	 < 0.01	2.82E-03	7.16E-03
response to UV (GO:0009411)	9	0	3.41	-	 < 0.01	1.64E-02	3.41E-02
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	26	0	9.84	-	 < 0.01	5.55E-06	2.45E-05
ATP synthesis coupled electron transport (GO:0042773)	31	0	11.73	-	 < 0.01	5.82E-07	3.02E-06
signal transduction in response to DNA damage (GO:0042770)	19	0	7.19	-	 < 0.01	1.65E-04	5.36E-04
positive regulation of protein phosphorylation (GO:0001934)	9	0	3.41	-	 < 0.01	1.64E-02	3.41E-02
RNA transport (GO:0050658)	59	0	22.33	-	 < 0.01	7.94E-13	9.07E-12
nucleic acid transport (GO:0050657)	59	0	22.33	-	 < 0.01	7.94E-13	8.99E-12
protein import into peroxisome matrix (GO:0016558)	17	0	6.43	-	 < 0.01	5.36E-04	1.60E-03
mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	11	0	4.16	-	 < 0.01	9.16E-03	2.06E-02
protein import into mitochondrial matrix (GO:0030150)	45	0	17.03	-	 < 0.01	6.69E-10	5.59E-09
oxidative phosphorylation (GO:0006119)	40	0	15.14	-	 < 0.01	6.54E-09	4.72E-08
negative regulation of chromosome separation (GO:1905819)	22	0	8.32	-	 < 0.01	6.00E-05	2.29E-04
regulation of chromosome separation (GO:1905818)	31	0	11.73	-	 < 0.01	5.82E-07	3.00E-06
biological process involved in interaction with host (GO:0051701)	9	0	3.41	-	 < 0.01	1.64E-02	3.40E-02
nucleotide-sugar transmembrane transport (GO:0015780)	18	0	6.81	-	 < 0.01	2.94E-04	9.17E-04
tRNA wobble uridine modification (GO:0002098)	13	0	4.92	-	 < 0.01	2.82E-03	7.15E-03
mitochondrial respiratory chain complex I assembly (GO:0032981)	9	0	3.41	-	 < 0.01	1.64E-02	3.40E-02
chromosome organization involved in meiotic cell cycle (GO:0070192)	12	0	4.54	-	 < 0.01	5.04E-03	1.19E-02
mRNA export from nucleus (GO:0006406)	45	0	17.03	-	 < 0.01	6.69E-10	5.55E-09
RNA export from nucleus (GO:0006405)	59	0	22.33	-	 < 0.01	7.94E-13	8.92E-12
RNA localization (GO:0006403)	63	0	23.84	-	 < 0.01	1.47E-13	1.87E-12
siRNA processing (GO:0030422)	17	0	6.43	-	 < 0.01	5.36E-04	1.59E-03
protein localization to plasma membrane (GO:0072659)	11	0	4.16	-	 < 0.01	9.16E-03	2.05E-02
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	24	0	9.08	-	 < 0.01	1.75E-05	7.30E-05
microtubule polymerization (GO:0046785)	18	0	6.81	-	 < 0.01	2.94E-04	9.15E-04
positive regulation of phosphorus metabolic process (GO:0010562)	9	0	3.41	-	 < 0.01	1.64E-02	3.39E-02
mRNA transport (GO:0051028)	45	0	17.03	-	 < 0.01	6.69E-10	5.52E-09
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	21	0	7.95	-	 < 0.01	5.49E-05	2.13E-04
regulation of membrane potential (GO:0042391)	10	0	3.78	-	 < 0.01	1.70E-02	3.42E-02
meiotic nuclear division (GO:0140013)	39	0	14.76	-	 < 0.01	1.12E-08	7.67E-08
snRNA processing (GO:0016180)	20	0	7.57	-	 < 0.01	9.42E-05	3.33E-04
negative regulation of mitotic sister chromatid segregation (GO:0033048)	22	0	8.32	-	 < 0.01	6.00E-05	2.29E-04
regulation of mitotic sister chromatid segregation (GO:0033047)	22	0	8.32	-	 < 0.01	6.00E-05	2.28E-04
negative regulation of sister chromatid segregation (GO:0033046)	22	0	8.32	-	 < 0.01	6.00E-05	2.27E-04
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	26	0	9.84	-	 < 0.01	5.55E-06	2.44E-05
regulation of sister chromatid segregation (GO:0033045)	40	0	15.14	-	 < 0.01	6.54E-09	4.70E-08
regulation of chromosome organization (GO:0033044)	46	0	17.41	-	 < 0.01	3.87E-10	3.33E-09
snRNA 3'-end processing (GO:0034472)	20	0	7.57	-	 < 0.01	9.42E-05	3.33E-04
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	11	0	4.16	-	 < 0.01	9.16E-03	2.05E-02
regulation of autophagy (GO:0010506)	17	0	6.43	-	 < 0.01	5.36E-04	1.59E-03
pseudouridine synthesis (GO:0001522)	37	0	14.00	-	 < 0.01	3.51E-08	2.24E-07
mitophagy (GO:0000423)	10	0	3.78	-	 < 0.01	1.70E-02	3.41E-02
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	9	0	3.41	-	 < 0.01	1.64E-02	3.39E-02
positive regulation of phosphorylation (GO:0042327)	9	0	3.41	-	 < 0.01	1.64E-02	3.38E-02
reciprocal meiotic recombination (GO:0007131)	34	0	12.87	-	 < 0.01	1.11E-07	6.71E-07
positive regulation of phosphate metabolic process (GO:0045937)	9	0	3.41	-	 < 0.01	1.64E-02	3.38E-02
positive regulation of mitotic cell cycle (GO:0045931)	9	0	3.41	-	 < 0.01	1.64E-02	3.37E-02
negative regulation of mitotic cell cycle (GO:0045930)	44	0	16.65	-	 < 0.01	1.18E-09	9.46E-09
negative regulation of mitotic sister chromatid separation (GO:2000816)	22	0	8.32	-	 < 0.01	6.00E-05	2.27E-04
regulation of mitotic metaphase/anaphase transition (GO:0030071)	35	0	13.24	-	 < 0.01	1.20E-07	7.12E-07
meiosis I (GO:0007127)	36	0	13.62	-	 < 0.01	6.40E-08	3.91E-07
regulation of vesicle-mediated transport (GO:0060627)	9	0	3.41	-	 < 0.01	1.64E-02	3.37E-02
mitotic DNA replication checkpoint signaling (GO:0033314)	12	0	4.54	-	 < 0.01	5.04E-03	1.19E-02
DNA synthesis involved in DNA repair (GO:0000731)	14	0	5.30	-	 < 0.01	1.62E-03	4.30E-03
mRNA splice site recognition (GO:0006376)	14	0	5.30	-	 < 0.01	1.62E-03	4.29E-03
negative regulation of chromosome segregation (GO:0051985)	22	0	8.32	-	 < 0.01	6.00E-05	2.26E-04
regulation of chromosome segregation (GO:0051983)	40	0	15.14	-	 < 0.01	6.54E-09	4.68E-08
double-strand break repair via break-induced replication (GO:0000727)	19	0	7.19	-	 < 0.01	1.65E-04	5.34E-04
mitotic G2/M transition checkpoint (GO:0044818)	16	0	6.05	-	 < 0.01	9.96E-04	2.82E-03
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	22	0	8.32	-	 < 0.01	6.00E-05	2.25E-04
transcription elongation by RNA polymerase II (GO:0006368)	24	0	9.08	-	 < 0.01	1.75E-05	7.27E-05
transcription elongation by RNA polymerase I (GO:0006362)	9	0	3.41	-	 < 0.01	1.64E-02	3.36E-02
respiratory chain complex IV assembly (GO:0008535)	13	0	4.92	-	 < 0.01	2.82E-03	7.13E-03
resolution of meiotic recombination intermediates (GO:0000712)	10	0	3.78	-	 < 0.01	1.70E-02	3.41E-02
homologous recombination (GO:0035825)	34	0	12.87	-	 < 0.01	1.11E-07	6.68E-07
DNA-templated transcription elongation (GO:0006354)	33	0	12.49	-	 < 0.01	1.90E-07	1.09E-06
piecemeal microautophagy of the nucleus (GO:0034727)	19	0	7.19	-	 < 0.01	1.65E-04	5.33E-04
mitochondrial cytochrome c oxidase assembly (GO:0033617)	13	0	4.92	-	 < 0.01	2.82E-03	7.12E-03
mitotic recombination (GO:0006312)	9	0	3.41	-	 < 0.01	1.64E-02	3.36E-02
DNA modification (GO:0006304)	13	0	4.92	-	 < 0.01	2.82E-03	7.11E-03
double-strand break repair via nonhomologous end joining (GO:0006303)	16	0	6.05	-	 < 0.01	9.96E-04	2.81E-03
chlorophyll metabolic process (GO:0015994)	11	0	4.16	-	 < 0.01	9.16E-03	2.05E-02
negative regulation of cell cycle G2/M phase transition (GO:1902750)	16	0	6.05	-	 < 0.01	9.96E-04	2.80E-03
positive regulation of protein modification process (GO:0031401)	9	0	3.41	-	 < 0.01	1.64E-02	3.35E-02
nuclear envelope organization (GO:0006998)	10	0	3.78	-	 < 0.01	1.70E-02	3.40E-02
mRNA cis splicing, via spliceosome (GO:0045292)	19	0	7.19	-	 < 0.01	1.65E-04	5.32E-04
nucleus organization (GO:0006997)	16	0	6.05	-	 < 0.01	9.96E-04	2.80E-03
negative regulation of chromosome organization (GO:2001251)	24	0	9.08	-	 < 0.01	1.75E-05	7.25E-05
negative regulation of mitotic cell cycle phase transition (GO:1901991)	41	0	15.51	-	 < 0.01	3.87E-09	2.90E-08
interstrand cross-link repair (GO:0036297)	10	0	3.78	-	 < 0.01	1.70E-02	3.40E-02
protein export from nucleus (GO:0006611)	10	0	3.78	-	 < 0.01	1.70E-02	3.39E-02
DNA damage checkpoint signaling (GO:0000077)	19	0	7.19	-	 < 0.01	1.65E-04	5.31E-04
fatty acid transport (GO:0015908)	10	0	3.78	-	 < 0.01	1.70E-02	3.39E-02
protein N-linked glycosylation via asparagine (GO:0018279)	11	0	4.16	-	 < 0.01	9.16E-03	2.04E-02
spliceosomal snRNP assembly (GO:0000387)	33	0	12.49	-	 < 0.01	1.90E-07	1.09E-06
nuclear membrane organization (GO:0071763)	10	0	3.78	-	 < 0.01	1.70E-02	3.38E-02
snRNA metabolic process (GO:0016073)	36	0	13.62	-	 < 0.01	6.40E-08	3.90E-07
mitotic spindle assembly checkpoint signaling (GO:0007094)	22	0	8.32	-	 < 0.01	6.00E-05	2.25E-04
mitotic cell cycle checkpoint signaling (GO:0007093)	41	0	15.51	-	 < 0.01	3.87E-09	2.88E-08
protein polymerization (GO:0051258)	18	0	6.81	-	 < 0.01	2.94E-04	9.13E-04
regulation of double-strand break repair (GO:2000779)	9	0	3.41	-	 < 0.01	1.64E-02	3.35E-02
regulation of mitotic nuclear division (GO:0007088)	31	0	11.73	-	 < 0.01	5.82E-07	2.99E-06
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	35	0	13.24	-	 < 0.01	1.20E-07	7.09E-07
mitotic chromosome condensation (GO:0007076)	9	0	3.41	-	 < 0.01	1.64E-02	3.34E-02
establishment of RNA localization (GO:0051236)	59	0	22.33	-	 < 0.01	7.94E-13	8.85E-12
cell cycle DNA replication (GO:0044786)	25	0	9.46	-	 < 0.01	9.75E-06	4.19E-05
nuclear DNA replication (GO:0033260)	25	0	9.46	-	 < 0.01	9.75E-06	4.18E-05
mitotic DNA integrity checkpoint signaling (GO:0044774)	19	0	7.19	-	 < 0.01	1.65E-04	5.29E-04
mitotic DNA damage checkpoint signaling (GO:0044773)	13	0	4.92	-	 < 0.01	2.82E-03	7.10E-03
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	12	0	4.54	-	 < 0.01	5.04E-03	1.19E-02
protein K11-linked ubiquitination (GO:0070979)	13	0	4.92	-	 < 0.01	2.82E-03	7.08E-03
aerobic electron transport chain (GO:0019646)	28	0	10.60	-	 < 0.01	1.90E-06	9.11E-06
lysosomal transport (GO:0007041)	11	0	4.16	-	 < 0.01	9.16E-03	2.04E-02
protein insertion into membrane (GO:0051205)	13	0	4.92	-	 < 0.01	2.82E-03	7.07E-03
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	22	0	8.32	-	 < 0.01	6.00E-05	2.24E-04
positive regulation of mitotic nuclear division (GO:0045840)	9	0	3.41	-	 < 0.01	1.64E-02	3.34E-02
meiosis I cell cycle process (GO:0061982)	39	0	14.76	-	 < 0.01	1.12E-08	7.64E-08
endosome organization (GO:0007032)	9	0	3.41	-	 < 0.01	1.64E-02	3.33E-02
peroxisome organization (GO:0007031)	43	0	16.27	-	 < 0.01	2.13E-09	1.67E-08
negative regulation of mitotic nuclear division (GO:0045839)	22	0	8.32	-	 < 0.01	6.00E-05	2.24E-04
protein transmembrane import into intracellular organelle (GO:0044743)	66	0	24.97	-	 < 0.01	2.75E-14	3.76E-13
microtubule nucleation (GO:0007020)	16	0	6.05	-	 < 0.01	9.96E-04	2.79E-03
mismatch repair (GO:0006298)	16	0	6.05	-	 < 0.01	9.96E-04	2.79E-03
Arp2/3 complex-mediated actin nucleation (GO:0034314)	17	0	6.43	-	 < 0.01	5.36E-04	1.59E-03
regulation of DNA repair (GO:0006282)	12	0	4.54	-	 < 0.01	5.04E-03	1.19E-02
polyadenylation-dependent ncRNA catabolic process (GO:0043634)	13	0	4.92	-	 < 0.01	2.82E-03	7.06E-03
negative regulation of catabolic process (GO:0009895)	9	0	3.41	-	 < 0.01	1.64E-02	3.33E-02
DNA strand elongation involved in DNA replication (GO:0006271)	23	0	8.70	-	 < 0.01	3.20E-05	1.28E-04
DNA replication initiation (GO:0006270)	30	0	11.35	-	 < 0.01	1.05E-06	5.26E-06
reciprocal homologous recombination (GO:0140527)	34	0	12.87	-	 < 0.01	1.11E-07	6.65E-07
DNA unwinding involved in DNA replication (GO:0006268)	16	0	6.05	-	 < 0.01	9.96E-04	2.78E-03
regulatory ncRNA processing (GO:0070918)	21	0	7.95	-	 < 0.01	5.49E-05	2.12E-04
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	11	0	4.16	-	 < 0.01	9.16E-03	2.04E-02
mitochondrial RNA processing (GO:0000963)	16	0	6.05	-	 < 0.01	9.96E-04	2.78E-03
mitochondrial protein processing (GO:0034982)	9	0	3.41	-	 < 0.01	1.64E-02	3.32E-02
intermembrane lipid transfer (GO:0120009)	14	0	5.30	-	 < 0.01	1.62E-03	4.28E-03
lipid storage (GO:0019915)	21	0	7.95	-	 < 0.01	5.49E-05	2.12E-04
negative regulation of cellular catabolic process (GO:0031330)	9	0	3.41	-	 < 0.01	1.64E-02	3.32E-02
COPII-coated vesicle budding (GO:0090114)	20	0	7.57	-	 < 0.01	9.42E-05	3.32E-04
poly(A)+ mRNA export from nucleus (GO:0016973)	13	0	4.92	-	 < 0.01	2.82E-03	7.04E-03
arginine metabolic process (GO:0006525)	19	0	7.19	-	 < 0.01	1.65E-04	5.28E-04
mitotic DNA replication (GO:1902969)	14	0	5.30	-	 < 0.01	1.62E-03	4.28E-03
protein sumoylation (GO:0016925)	19	0	7.19	-	 < 0.01	1.65E-04	5.27E-04
meiotic chromosome segregation (GO:0045132)	9	0	3.41	-	 < 0.01	1.64E-02	3.31E-02
dicarboxylic acid transport (GO:0006835)	9	0	3.41	-	 < 0.01	1.64E-02	3.31E-02
monoatomic anion transport (GO:0006820)	12	0	4.54	-	 < 0.01	5.04E-03	1.19E-02
protein neddylation (GO:0045116)	13	0	4.92	-	 < 0.01	2.82E-03	7.03E-03
