Gene1	Gene2	Gene1_name	Gene2_name	Family_ID	Chromosome	Genes_Apart	Distance_bp	Strand1	Strand2	Same_Orientation
KRH38585	KRH38586	GLYMA_09G145100	GLYMA_09G145200	65	9	1	1920	+	+	True
KRH38585	KRH38588	GLYMA_09G145100	GLYMA_09G145300	65	9	2	18153	+	+	True
KRH38585	KRH38591	GLYMA_09G145100	GLYMA_09G145400	65	9	3	19377	+	+	True
KRH38586	KRH38588	GLYMA_09G145200	GLYMA_09G145300	65	9	1	16233	+	+	True
KRH38586	KRH38591	GLYMA_09G145200	GLYMA_09G145400	65	9	2	17457	+	+	True
KRH38588	KRH38591	GLYMA_09G145300	GLYMA_09G145400	65	9	1	1224	+	+	True
KRH35541	KRH35542	GLYMA_10G249400	GLYMA_10G249500	66	10	1	7957	+	+	True
KRH16713	KRH16714	GLYMA_14G172600	GLYMA_14G172700	66	14	1	16961	+	+	True
KRG91266	KRG91267	GLYMA_20G144100	GLYMA_20G144200	66	20	1	2074	-	-	True
KRG91266	KRG91268	GLYMA_20G144100	GLYMA_20G144300	66	20	2	6380	-	-	True
KRG91267	KRG91268	GLYMA_20G144200	GLYMA_20G144300	66	20	1	4306	-	-	True
KRH62355	KRH62356	GLYMA_04G102600	GLYMA_04G102700	66	4	1	8630	-	-	True
KRH62355	KRH62357	GLYMA_04G102600	GLYMA_04G102800	66	4	2	17582	-	-	True
KRH62356	KRH62357	GLYMA_04G102700	GLYMA_04G102800	66	4	1	8952	-	-	True
KRH53073	KRH53074	GLYMA_06G103900	GLYMA_06G104000	66	6	1	8241	-	-	True
KRH56314	KRH56317	GLYMA_06G317100	GLYMA_06G317200	66	6	1	9897	+	+	True
KRH40901	KRH40905	GLYMA_09G284200	GLYMA_09G284600	66	9	4	19851	+	-	False
KRH23265	KRH23266	GLYMA_13G347500	GLYMA_13G347600	67	13	1	7294	+	+	True
KRH23265	KRH23268	GLYMA_13G347500	GLYMA_13G347700	67	13	2	11748	+	-	False
KRH23265	KRH23269	GLYMA_13G347500	GLYMA_13G347800	67	13	3	35965	+	+	True
KRH23266	KRH23268	GLYMA_13G347600	GLYMA_13G347700	67	13	1	4454	+	-	False
KRH23266	KRH23269	GLYMA_13G347600	GLYMA_13G347800	67	13	2	28671	+	+	True
KRH23268	KRH23269	GLYMA_13G347700	GLYMA_13G347800	67	13	1	24217	-	+	False
KRH10050	KRH10051	GLYMA_15G026300	GLYMA_15G026400	67	15	1	6777	+	-	False
KRH10050	KRH10053	GLYMA_15G026300	GLYMA_15G026500	67	15	2	18437	+	+	True
KRH10051	KRH10053	GLYMA_15G026400	GLYMA_15G026500	67	15	1	11660	-	+	False
KRH62399	KRH62403	GLYMA_04G105500	GLYMA_04G105900	67	4	4	348890	+	+	True
KRH47064	KRH47065	GLYMA_07G006700	GLYMA_07G006800	67	7	1	4484	+	+	True
KRH47064	KRH47066	GLYMA_07G006700	GLYMA_07G006900	67	7	2	12019	+	+	True
KRH47064	KRH47067	GLYMA_07G006700	GLYMA_07G007000	67	7	3	18086	+	+	True
KRH47064	KRH47069	GLYMA_07G006700	GLYMA_07G007100	67	7	4	37665	+	+	True
KRH47065	KRH47066	GLYMA_07G006800	GLYMA_07G006900	67	7	1	7535	+	+	True
KRH47065	KRH47067	GLYMA_07G006800	GLYMA_07G007000	67	7	2	13602	+	+	True
KRH47065	KRH47069	GLYMA_07G006800	GLYMA_07G007100	67	7	3	33181	+	+	True
KRH47066	KRH47067	GLYMA_07G006900	GLYMA_07G007000	67	7	1	6067	+	+	True
KRH47066	KRH47069	GLYMA_07G006900	GLYMA_07G007100	67	7	2	25646	+	+	True
KRH47067	KRH47069	GLYMA_07G007000	GLYMA_07G007100	67	7	1	19579	+	+	True
KRH47522	KRH47525	GLYMA_07G034800	GLYMA_07G034900	67	7	1	18395	-	-	True
KRH44089	KRH44090	GLYMA_08G189100	GLYMA_08G189200	67	8	1	9877	+	+	True
KRH44089	KRH44092	GLYMA_08G189100	GLYMA_08G189300	67	8	2	22993	+	+	True
KRH44089	KRH44093	GLYMA_08G189100	GLYMA_08G189400	67	8	3	30011	+	+	True
KRH44089	KRH44094	GLYMA_08G189100	GLYMA_08G189500	67	8	4	43337	+	+	True
KRH44089	KRH44095	GLYMA_08G189100	GLYMA_08G189600	67	8	5	72170	+	+	True
KRH44089	KRH44097	GLYMA_08G189100	GLYMA_08G189800	67	8	7	86025	+	+	True
KRH44090	KRH44092	GLYMA_08G189200	GLYMA_08G189300	67	8	1	13116	+	+	True
KRH44090	KRH44093	GLYMA_08G189200	GLYMA_08G189400	67	8	2	20134	+	+	True
KRH44090	KRH44094	GLYMA_08G189200	GLYMA_08G189500	67	8	3	33460	+	+	True
KRH44090	KRH44095	GLYMA_08G189200	GLYMA_08G189600	67	8	4	62293	+	+	True
KRH44090	KRH44097	GLYMA_08G189200	GLYMA_08G189800	67	8	6	76148	+	+	True
KRH44092	KRH44093	GLYMA_08G189300	GLYMA_08G189400	67	8	1	7018	+	+	True
KRH44092	KRH44094	GLYMA_08G189300	GLYMA_08G189500	67	8	2	20344	+	+	True
KRH44092	KRH44095	GLYMA_08G189300	GLYMA_08G189600	67	8	3	49177	+	+	True
KRH44092	KRH44097	GLYMA_08G189300	GLYMA_08G189800	67	8	5	63032	+	+	True
KRH44093	KRH44094	GLYMA_08G189400	GLYMA_08G189500	67	8	1	13326	+	+	True
KRH44093	KRH44095	GLYMA_08G189400	GLYMA_08G189600	67	8	2	42159	+	+	True
KRH44093	KRH44097	GLYMA_08G189400	GLYMA_08G189800	67	8	4	56014	+	+	True
KRH44094	KRH44095	GLYMA_08G189500	GLYMA_08G189600	67	8	1	28833	+	+	True
KRH44094	KRH44097	GLYMA_08G189500	GLYMA_08G189800	67	8	3	42688	+	+	True
KRH44095	KRH44097	GLYMA_08G189600	GLYMA_08G189800	67	8	2	13855	+	+	True
KRH65416	KRH65418	GLYMA_03G034400	GLYMA_03G034500	68	3	1	12982	+	-	False
KRH65416	KRH65421	GLYMA_03G034400	GLYMA_03G034800	68	3	4	96544	+	-	False
KRH65416	KRH65423	GLYMA_03G034400	GLYMA_03G034900	68	3	5	172942	+	-	False
KRH65418	KRH65421	GLYMA_03G034500	GLYMA_03G034800	68	3	3	83562	-	-	True
KRH65418	KRH65423	GLYMA_03G034500	GLYMA_03G034900	68	3	4	159960	-	-	True
KRH65421	KRH65423	GLYMA_03G034800	GLYMA_03G034900	68	3	1	76398	-	-	True
KRH65453	KRH65454	GLYMA_03G037000	GLYMA_03G037100	68	3	1	25803	+	+	True
KRH65453	KRH65462	GLYMA_03G037000	GLYMA_03G037300	68	3	3	50785	+	+	True
KRH65453	KRH65463	GLYMA_03G037000	GLYMA_03G037400	68	3	4	77898	+	+	True
KRH65454	KRH65462	GLYMA_03G037100	GLYMA_03G037300	68	3	2	24982	+	+	True
KRH65454	KRH65463	GLYMA_03G037100	GLYMA_03G037400	68	3	3	52095	+	+	True
KRH65462	KRH65463	GLYMA_03G037300	GLYMA_03G037400	68	3	1	27113	+	+	True
KRH65477	KRH65479	GLYMA_03G038800	GLYMA_03G039000	68	3	2	26414	+	+	True
KRH65477	KRH65480	GLYMA_03G038800	GLYMA_03G039100	68	3	3	37938	+	+	True
KRH65477	KRH65481	GLYMA_03G038800	GLYMA_03G039200	68	3	4	61557	+	+	True
KRH65477	KRH65483	GLYMA_03G038800	GLYMA_03G039300	68	3	5	100009	+	+	True
KRH65477	KRH65486	GLYMA_03G038800	GLYMA_03G039500	68	3	7	122825	+	+	True
KRH65479	KRH65480	GLYMA_03G039000	GLYMA_03G039100	68	3	1	11524	+	+	True
KRH65479	KRH65481	GLYMA_03G039000	GLYMA_03G039200	68	3	2	35143	+	+	True
KRH65479	KRH65483	GLYMA_03G039000	GLYMA_03G039300	68	3	3	73595	+	+	True
KRH65479	KRH65486	GLYMA_03G039000	GLYMA_03G039500	68	3	5	96411	+	+	True
KRH65480	KRH65481	GLYMA_03G039100	GLYMA_03G039200	68	3	1	23619	+	+	True
KRH65480	KRH65483	GLYMA_03G039100	GLYMA_03G039300	68	3	2	62071	+	+	True
KRH65480	KRH65486	GLYMA_03G039100	GLYMA_03G039500	68	3	4	84887	+	+	True
KRH65481	KRH65483	GLYMA_03G039200	GLYMA_03G039300	68	3	1	38452	+	+	True
KRH65481	KRH65486	GLYMA_03G039200	GLYMA_03G039500	68	3	3	61268	+	+	True
KRH65483	KRH65486	GLYMA_03G039300	GLYMA_03G039500	68	3	2	22816	+	+	True
KRH65531	KRH65532	GLYMA_03G0430002	GLYMA_03G0430001	68	3	1	1250	+	+	True
KRH65531	KRH65534	GLYMA_03G0430002	GLYMA_03G043200	68	3	3	14971	+	+	True
KRH65531	KRH65538	GLYMA_03G0430002	GLYMA_03G0435002	68	3	6	61140	+	+	True
KRH65531	KRH65539	GLYMA_03G0430002	GLYMA_03G043600	68	3	7	75343	+	+	True
KRH65531	KRH65542	GLYMA_03G0430002	GLYMA_03G043900	68	3	9	92919	+	+	True
KRH65531	KRH65544	GLYMA_03G0430002	GLYMA_03G044000	68	3	10	127591	+	+	True
KRH65532	KRH65534	GLYMA_03G0430001	GLYMA_03G043200	68	3	2	13721	+	+	True
KRH65532	KRH65538	GLYMA_03G0430001	GLYMA_03G0435002	68	3	5	59890	+	+	True
KRH65532	KRH65539	GLYMA_03G0430001	GLYMA_03G043600	68	3	6	74093	+	+	True
KRH65532	KRH65542	GLYMA_03G0430001	GLYMA_03G043900	68	3	8	91669	+	+	True
KRH65532	KRH65544	GLYMA_03G0430001	GLYMA_03G044000	68	3	9	126341	+	+	True
KRH65534	KRH65538	GLYMA_03G043200	GLYMA_03G0435002	68	3	3	46169	+	+	True
KRH65534	KRH65539	GLYMA_03G043200	GLYMA_03G043600	68	3	4	60372	+	+	True
KRH65534	KRH65542	GLYMA_03G043200	GLYMA_03G043900	68	3	6	77948	+	+	True
KRH65534	KRH65544	GLYMA_03G043200	GLYMA_03G044000	68	3	7	112620	+	+	True
KRH65538	KRH65539	GLYMA_03G0435002	GLYMA_03G043600	68	3	1	14203	+	+	True
KRH65538	KRH65542	GLYMA_03G0435002	GLYMA_03G043900	68	3	3	31779	+	+	True
KRH65538	KRH65544	GLYMA_03G0435002	GLYMA_03G044000	68	3	4	66451	+	+	True
KRH65539	KRH65542	GLYMA_03G043600	GLYMA_03G043900	68	3	2	17576	+	+	True
KRH65539	KRH65544	GLYMA_03G043600	GLYMA_03G044000	68	3	3	52248	+	+	True
KRH65542	KRH65544	GLYMA_03G043900	GLYMA_03G044000	68	3	1	34672	+	+	True
KRH65542	KRH65554	GLYMA_03G043900	GLYMA_03G045000	68	3	10	182544	+	-	False
KRH65544	KRH65554	GLYMA_03G044000	GLYMA_03G045000	68	3	9	147872	+	-	False
KRH65544	KRH65556	GLYMA_03G044000	GLYMA_03G045200	68	3	10	153563	+	-	False
KRH65554	KRH65556	GLYMA_03G045000	GLYMA_03G045200	68	3	1	5691	-	-	True
KRH65554	KRH65557	GLYMA_03G045000	GLYMA_03G045300	68	3	2	19354	-	-	True
KRH65554	KRH65561	GLYMA_03G045000	GLYMA_03G045700	68	3	5	97747	-	-	True
KRH65556	KRH65557	GLYMA_03G045200	GLYMA_03G045300	68	3	1	13663	-	-	True
KRH65556	KRH65561	GLYMA_03G045200	GLYMA_03G045700	68	3	4	92056	-	-	True
KRH65557	KRH65561	GLYMA_03G045300	GLYMA_03G045700	68	3	3	78393	-	-	True
KRH65561	KRH65572	GLYMA_03G045700	GLYMA_03G046500	68	3	8	121804	-	+	False
KRH65561	KRH65573	GLYMA_03G045700	GLYMA_03G046600	68	3	9	125514	-	+	False
KRH65572	KRH65573	GLYMA_03G046500	GLYMA_03G046600	68	3	1	3710	+	+	True
KRH65572	KRH65580	GLYMA_03G046500	GLYMA_03G047000	68	3	5	39429	+	+	True
KRH65573	KRH65580	GLYMA_03G046600	GLYMA_03G047000	68	3	4	35719	+	+	True
KRH65990	KRH65991	GLYMA_03G075100	GLYMA_03G075200	68	3	1	4065	+	-	False
KRH65990	KRH65998	GLYMA_03G075100	GLYMA_03G075800	68	3	6	171020	+	+	True
KRH65991	KRH65998	GLYMA_03G075200	GLYMA_03G075800	68	3	5	166955	-	+	False
KRG94448	KRG94449	GLYMA_19G085500	GLYMA_19G085600	69	19	1	10174	+	+	True
KRG94448	KRG94452	GLYMA_19G085500	GLYMA_19G085900	69	19	4	46629	+	+	True
KRG94449	KRG94452	GLYMA_19G085600	GLYMA_19G085900	69	19	3	36455	+	+	True
KRG95155	KRG95156	GLYMA_19G134100	GLYMA_19G134200	69	19	1	13175	-	-	True
KRG95155	KRG95157	GLYMA_19G134100	GLYMA_19G134300	69	19	2	27756	-	-	True
KRG95156	KRG95157	GLYMA_19G134200	GLYMA_19G134300	69	19	1	14581	-	-	True
KRG95184	KRG95185	GLYMA_19G135400	GLYMA_19G135500	69	19	1	11870	+	+	True
KRG95184	KRG95186	GLYMA_19G135400	GLYMA_19G135600	69	19	2	21343	+	+	True
KRG95184	KRG95187	GLYMA_19G135400	GLYMA_19G135700	69	19	3	32585	+	+	True
KRG95184	KRG95188	GLYMA_19G135400	GLYMA_19G135800	69	19	4	54190	+	+	True
KRG95185	KRG95186	GLYMA_19G135500	GLYMA_19G135600	69	19	1	9473	+	+	True
KRG95185	KRG95187	GLYMA_19G135500	GLYMA_19G135700	69	19	2	20715	+	+	True
KRG95185	KRG95188	GLYMA_19G135500	GLYMA_19G135800	69	19	3	42320	+	+	True
KRG95186	KRG95187	GLYMA_19G135600	GLYMA_19G135700	69	19	1	11242	+	+	True
KRG95186	KRG95188	GLYMA_19G135600	GLYMA_19G135800	69	19	2	32847	+	+	True
KRG95187	KRG95188	GLYMA_19G135700	GLYMA_19G135800	69	19	1	21605	+	+	True
KRG95226	KRG95227	GLYMA_19G136900	GLYMA_19G137000	69	19	1	6608	-	-	True
KRG95226	KRG95229	GLYMA_19G136900	GLYMA_19G137200	69	19	3	12086	-	-	True
KRG95226	KRG95237	GLYMA_19G136900	GLYMA_19G137900	69	19	10	92589	-	-	True
KRG95227	KRG95229	GLYMA_19G137000	GLYMA_19G137200	69	19	2	5478	-	-	True
KRG95227	KRG95237	GLYMA_19G137000	GLYMA_19G137900	69	19	9	85981	-	-	True
KRG95229	KRG95237	GLYMA_19G137200	GLYMA_19G137900	69	19	7	80503	-	-	True
KRG95237	KRG95243	GLYMA_19G137900	GLYMA_19G138300	69	19	4	50403	-	-	True
KRG95243	KRG95259	GLYMA_19G138300	GLYMA_19G139400	69	19	8	93385	-	+	False
KRG95243	KRG95260	GLYMA_19G138300	GLYMA_19G139500	69	19	9	98490	-	+	False
KRG95243	KRG95261	GLYMA_19G138300	GLYMA_19G139600	69	19	10	107353	-	+	False
KRG95259	KRG95260	GLYMA_19G139400	GLYMA_19G139500	69	19	1	5105	+	+	True
KRG95259	KRG95261	GLYMA_19G139400	GLYMA_19G139600	69	19	2	13968	+	+	True
KRG95259	KRG95263	GLYMA_19G139400	GLYMA_19G139700	69	19	3	35590	+	+	True
KRG95260	KRG95261	GLYMA_19G139500	GLYMA_19G139600	69	19	1	8863	+	+	True
KRG95260	KRG95263	GLYMA_19G139500	GLYMA_19G139700	69	19	2	30485	+	+	True
KRG95261	KRG95263	GLYMA_19G139600	GLYMA_19G139700	69	19	1	21622	+	+	True
KRH65592	KRH65593	GLYMA_03G048100	GLYMA_03G048200	69	3	1	11755	+	+	True
KRH65592	KRH65594	GLYMA_03G048100	GLYMA_03G048300	69	3	2	18081	+	+	True
KRH65593	KRH65594	GLYMA_03G048200	GLYMA_03G048300	69	3	1	6326	+	+	True
KRH66907	KRH66922	GLYMA_03G135900	GLYMA_03G136400	69	3	4	118111	-	-	True
KRH66922	KRH66938	GLYMA_03G136400	GLYMA_03G137200	69	3	7	96409	-	+	False
KRH13063	KRH13067	GLYMA_15G213600	GLYMA_15G213700	70	15	1	29804	+	-	False
KRH13063	KRH13068	GLYMA_15G213600	GLYMA_15G213800	70	15	2	164690	+	-	False
KRH13063	KRH13074	GLYMA_15G213600	GLYMA_15G214400	70	15	6	430605	+	-	False
KRH13067	KRH13068	GLYMA_15G213700	GLYMA_15G213800	70	15	1	134886	-	-	True
KRH13067	KRH13074	GLYMA_15G213700	GLYMA_15G214400	70	15	5	400801	-	-	True
KRH13068	KRH13074	GLYMA_15G213800	GLYMA_15G214400	70	15	4	265915	-	-	True
KRH09190	KRH09192	GLYMA_16G201900	GLYMA_16G202100	70	16	2	8845	+	+	True
KRH09190	KRH09193	GLYMA_16G201900	GLYMA_16G202200	70	16	3	19186	+	+	True
KRH09190	KRH09199	GLYMA_16G201900	GLYMA_16G202400	70	16	5	42580	+	+	True
KRH09192	KRH09193	GLYMA_16G202100	GLYMA_16G202200	70	16	1	10341	+	+	True
KRH09192	KRH09199	GLYMA_16G202100	GLYMA_16G202400	70	16	3	33735	+	+	True
KRH09193	KRH09199	GLYMA_16G202200	GLYMA_16G202400	70	16	2	23394	+	+	True
KRH00536	KRH00538	GLYMA_18G219200	GLYMA_18G219300	70	18	1	8190	-	-	True
KRH00536	KRH00542	GLYMA_18G219200	GLYMA_18G219600	70	18	4	39551	-	+	False
KRH00536	KRH00546	GLYMA_18G219200	GLYMA_18G219700	70	18	5	47098	-	+	False
KRH00536	KRH00547	GLYMA_18G219200	GLYMA_18G219800	70	18	6	62738	-	+	False
KRH00538	KRH00542	GLYMA_18G219300	GLYMA_18G219600	70	18	3	31361	-	+	False
KRH00538	KRH00546	GLYMA_18G219300	GLYMA_18G219700	70	18	4	38908	-	+	False
KRH00538	KRH00547	GLYMA_18G219300	GLYMA_18G219800	70	18	5	54548	-	+	False
KRH00542	KRH00546	GLYMA_18G219600	GLYMA_18G219700	70	18	1	7547	+	+	True
KRH00542	KRH00547	GLYMA_18G219600	GLYMA_18G219800	70	18	2	23187	+	+	True
KRH00546	KRH00547	GLYMA_18G219700	GLYMA_18G219800	70	18	1	15640	+	+	True
KRH01721	KRH01723	GLYMA_18G294400	GLYMA_18G294600	70	18	1	14281	+	+	True
KRG91215	KRG91216	GLYMA_20G140400	GLYMA_20G140500	70	20	1	6691	-	-	True
KRG91215	KRG91217	GLYMA_20G140400	GLYMA_20G140600	70	20	2	18383	-	-	True
KRG91216	KRG91217	GLYMA_20G140500	GLYMA_20G140600	70	20	1	11692	-	-	True
KRH38674	KRH38684	GLYMA_09G150500	GLYMA_09G151400	70	9	9	154136	-	-	True
KRH38674	KRH38692	GLYMA_09G150500	GLYMA_09G151500	70	9	10	199612	-	-	True
KRH38684	KRH38692	GLYMA_09G151400	GLYMA_09G151500	70	9	1	45476	-	-	True
KRH38684	KRH38697	GLYMA_09G151400	GLYMA_09G151700	70	9	3	74385	-	-	True
KRH38692	KRH38697	GLYMA_09G151500	GLYMA_09G151700	70	9	2	28909	-	-	True
KRH29941	KRH29947	GLYMA_11G147800	GLYMA_11G148100	71	11	3	42714	-	+	False
KRH29941	KRH29948	GLYMA_11G147800	GLYMA_11G148200	71	11	4	46659	-	+	False
KRH29941	KRH29949	GLYMA_11G147800	GLYMA_11G148300	71	11	5	49840	-	+	False
KRH29941	KRH29950	GLYMA_11G147800	GLYMA_11G148400	71	11	6	62532	-	+	False
KRH29941	KRH29951	GLYMA_11G147800	GLYMA_11G148500	71	11	7	67132	-	+	False
KRH29941	KRH29953	GLYMA_11G147800	GLYMA_11G148700	71	11	9	71829	-	-	True
KRH29947	KRH29948	GLYMA_11G148100	GLYMA_11G148200	71	11	1	3945	+	+	True
KRH29947	KRH29949	GLYMA_11G148100	GLYMA_11G148300	71	11	2	7126	+	+	True
KRH29947	KRH29950	GLYMA_11G148100	GLYMA_11G148400	71	11	3	19818	+	+	True
KRH29947	KRH29951	GLYMA_11G148100	GLYMA_11G148500	71	11	4	24418	+	+	True
KRH29947	KRH29953	GLYMA_11G148100	GLYMA_11G148700	71	11	6	29115	+	-	False
KRH29948	KRH29949	GLYMA_11G148200	GLYMA_11G148300	71	11	1	3181	+	+	True
KRH29948	KRH29950	GLYMA_11G148200	GLYMA_11G148400	71	11	2	15873	+	+	True
KRH29948	KRH29951	GLYMA_11G148200	GLYMA_11G148500	71	11	3	20473	+	+	True
KRH29948	KRH29953	GLYMA_11G148200	GLYMA_11G148700	71	11	5	25170	+	-	False
KRH29949	KRH29950	GLYMA_11G148300	GLYMA_11G148400	71	11	1	12692	+	+	True
KRH29949	KRH29951	GLYMA_11G148300	GLYMA_11G148500	71	11	2	17292	+	+	True
KRH29949	KRH29953	GLYMA_11G148300	GLYMA_11G148700	71	11	4	21989	+	-	False
KRH29950	KRH29951	GLYMA_11G148400	GLYMA_11G148500	71	11	1	4600	+	+	True
KRH29950	KRH29953	GLYMA_11G148400	GLYMA_11G148700	71	11	3	9297	+	-	False
KRH29951	KRH29953	GLYMA_11G148500	GLYMA_11G148700	71	11	2	4697	+	-	False
KRH24888	KRH24893	GLYMA_12G068900	GLYMA_12G069300	71	12	4	28028	-	+	False
KRH24888	KRH24894	GLYMA_12G068900	GLYMA_12G069400	71	12	5	32830	-	+	False
KRH24888	KRH24895	GLYMA_12G068900	GLYMA_12G069500	71	12	6	36659	-	+	False
KRH24888	KRH24897	GLYMA_12G068900	GLYMA_12G069700	71	12	8	44093	-	+	False
KRH24888	KRH24898	GLYMA_12G068900	GLYMA_12G069800	71	12	9	52363	-	-	True
KRH24888	KRH24899	GLYMA_12G068900	GLYMA_12G069900	71	12	10	56696	-	-	True
KRH24893	KRH24894	GLYMA_12G069300	GLYMA_12G069400	71	12	1	4802	+	+	True
KRH24893	KRH24895	GLYMA_12G069300	GLYMA_12G069500	71	12	2	8631	+	+	True
KRH24893	KRH24897	GLYMA_12G069300	GLYMA_12G069700	71	12	4	16065	+	+	True
KRH24893	KRH24898	GLYMA_12G069300	GLYMA_12G069800	71	12	5	24335	+	-	False
KRH24893	KRH24899	GLYMA_12G069300	GLYMA_12G069900	71	12	6	28668	+	-	False
KRH24893	KRH24900	GLYMA_12G069300	GLYMA_12G070000	71	12	7	32480	+	-	False
KRH24893	KRH24904	GLYMA_12G069300	GLYMA_12G070200	71	12	9	48893	+	+	True
KRH24894	KRH24895	GLYMA_12G069400	GLYMA_12G069500	71	12	1	3829	+	+	True
KRH24894	KRH24897	GLYMA_12G069400	GLYMA_12G069700	71	12	3	11263	+	+	True
KRH24894	KRH24898	GLYMA_12G069400	GLYMA_12G069800	71	12	4	19533	+	-	False
KRH24894	KRH24899	GLYMA_12G069400	GLYMA_12G069900	71	12	5	23866	+	-	False
KRH24894	KRH24900	GLYMA_12G069400	GLYMA_12G070000	71	12	6	27678	+	-	False
KRH24894	KRH24904	GLYMA_12G069400	GLYMA_12G070200	71	12	8	44091	+	+	True
KRH24895	KRH24897	GLYMA_12G069500	GLYMA_12G069700	71	12	2	7434	+	+	True
KRH24895	KRH24898	GLYMA_12G069500	GLYMA_12G069800	71	12	3	15704	+	-	False
KRH24895	KRH24899	GLYMA_12G069500	GLYMA_12G069900	71	12	4	20037	+	-	False
KRH24895	KRH24900	GLYMA_12G069500	GLYMA_12G070000	71	12	5	23849	+	-	False
KRH24895	KRH24904	GLYMA_12G069500	GLYMA_12G070200	71	12	7	40262	+	+	True
KRH24897	KRH24898	GLYMA_12G069700	GLYMA_12G069800	71	12	1	8270	+	-	False
KRH24897	KRH24899	GLYMA_12G069700	GLYMA_12G069900	71	12	2	12603	+	-	False
KRH24897	KRH24900	GLYMA_12G069700	GLYMA_12G070000	71	12	3	16415	+	-	False
KRH24897	KRH24904	GLYMA_12G069700	GLYMA_12G070200	71	12	5	32828	+	+	True
KRH24898	KRH24899	GLYMA_12G069800	GLYMA_12G069900	71	12	1	4333	-	-	True
KRH24898	KRH24900	GLYMA_12G069800	GLYMA_12G070000	71	12	2	8145	-	-	True
KRH24898	KRH24904	GLYMA_12G069800	GLYMA_12G070200	71	12	4	24558	-	+	False
KRH24899	KRH24900	GLYMA_12G069900	GLYMA_12G070000	71	12	1	3812	-	-	True
KRH24899	KRH24904	GLYMA_12G069900	GLYMA_12G070200	71	12	3	20225	-	+	False
KRH24900	KRH24904	GLYMA_12G070000	GLYMA_12G070200	71	12	2	16413	-	+	False
KRH21209	KRH21210	GLYMA_13G226000	GLYMA_13G226100	71	13	1	4661	-	-	True
KRH22913	KRH22915	GLYMA_13G327100	GLYMA_13G327300	71	13	2	5150	+	+	True
KRH11059	KRH11060	GLYMA_15G086000	GLYMA_15G086100	71	15	1	4003	+	+	True
KRH59025	KRH59026	GLYMA_05G161900	GLYMA_05G162000	71	5	1	2836	+	+	True
KRH42914	KRH42915	GLYMA_08G119400	GLYMA_08G119500	71	8	1	4169	+	+	True
KRH42914	KRH42916	GLYMA_08G119400	GLYMA_08G119600	71	8	2	7071	+	+	True
KRH42915	KRH42916	GLYMA_08G119500	GLYMA_08G119600	71	8	1	2902	+	+	True
KRG89010	KRG89011	GLYMA_U019000	GLYMA_U019100	71	scaffold_21	1	5025	+	+	True
KRG89010	KRG89013	GLYMA_U019000	GLYMA_U019300	71	scaffold_21	3	17289	+	+	True
KRG89011	KRG89013	GLYMA_U019100	GLYMA_U019300	71	scaffold_21	2	12264	+	+	True
KRH31373	KRH31375	GLYMA_11G244800	GLYMA_11G244900	74	11	1	8894	-	-	True
KRG97506	KRG97507	GLYMA_18G012200	GLYMA_18G012300	74	18	1	10254	+	+	True
KRH36487	KRH36488	GLYMA_09G005900	GLYMA_09G006000	74	9	1	4333	-	-	True
KRH76184	KRH76188	GLYMA_01G137700	GLYMA_01G138000	75	1	2	83771	-	-	True
KRH76184	KRH76189	GLYMA_01G137700	GLYMA_01G138100	75	1	3	108830	-	+	False
KRH76188	KRH76189	GLYMA_01G138000	GLYMA_01G138100	75	1	1	25059	-	+	False
KRH12637	KRH12638	GLYMA_15G184300	GLYMA_15G184400	75	15	1	24260	-	-	True
KRH65349	KRH65350	GLYMA_03G028900	GLYMA_03G029000	75	3	1	16064	-	+	False
KRH65349	KRH65351	GLYMA_03G028900	GLYMA_03G029100	75	3	2	29635	-	+	False
KRH65349	KRH65352	GLYMA_03G028900	GLYMA_03G029200	75	3	3	37307	-	-	True
KRH65349	KRH65354	GLYMA_03G028900	GLYMA_03G029400	75	3	5	80855	-	+	False
KRH65350	KRH65351	GLYMA_03G029000	GLYMA_03G029100	75	3	1	13571	+	+	True
KRH65350	KRH65352	GLYMA_03G029000	GLYMA_03G029200	75	3	2	21243	+	-	False
KRH65350	KRH65354	GLYMA_03G029000	GLYMA_03G029400	75	3	4	64791	+	+	True
KRH65351	KRH65352	GLYMA_03G029100	GLYMA_03G029200	75	3	1	7672	+	-	False
KRH65351	KRH65354	GLYMA_03G029100	GLYMA_03G029400	75	3	3	51220	+	+	True
KRH65352	KRH65354	GLYMA_03G029200	GLYMA_03G029400	75	3	2	43548	-	+	False
KRH62606	KRH62607	GLYMA_04G119100	GLYMA_04G119200	75	4	1	7016	+	+	True
KRH62606	KRH62608	GLYMA_04G119100	GLYMA_04G119300	75	4	2	37525	+	+	True
KRH62607	KRH62608	GLYMA_04G119200	GLYMA_04G119300	75	4	1	30509	+	+	True
KRH60385	KRH60386	GLYMA_05G236800	GLYMA_05G236900	75	5	1	12218	+	+	True
KRH56358	KRH56359	GLYMA_06G319000	GLYMA_06G319100	75	6	1	22935	-	-	True
KRH37591	KRH37597	GLYMA_09G076000	GLYMA_09G076600	75	9	6	86979	-	-	True
KRH37597	KRH37602	GLYMA_09G076600	GLYMA_09G077100	75	9	5	88381	-	-	True
KRH55028	KRH55031	GLYMA_06G225400	GLYMA_06G225500	76	6	1	34355	-	-	True
KRH56308	KRH56309	GLYMA_06G316700	GLYMA_06G316800	76	6	1	5664	-	-	True
